"","S2","SD"
"1",1.51491462754243e-06,0
"2",1.49427301084578e-06,0
"3",1.48653427431565e-06,0
"4",1.1192090511322e-06,1.11999973297119e-07
"5",1.43255388159552e-06,5.14342000618874e-08
"6",1.1192090511322e-06,1.11999973297119e-07
"7",1.1192090511322e-06,1.11999973297119e-07
"8",1.49153015935352e-06,0
"9",1.1192090511322e-06,1.11999973297119e-07
"10",1.50740428437613e-06,0
"11",1.23735239202505e-06,1.11999946832958e-07
"12",1.45056704466013e-06,0
"13",1.13434627754658e-06,1.35346545970978e-07
"14",1.20929993656872e-06,1.1199995311672e-07
"15",1.13611625119088e-06,1.37116523151698e-07
"16",1.13850169460288e-06,1.3950197132982e-07
"17",1.14382470987905e-06,1.44824997241397e-07
"18",1.0596045255661e-06,1.1199998664856e-07
"19",1.04065575073546e-06,1.52656020076555e-07
"20",1.1192090511322e-06,1.11999973297119e-07
"21",1.4365044965856e-06,0
"22",1.55067639221118e-06,0
"23",1.50546258629933e-06,0
"24",1.1192090511322e-06,1.11999973297119e-07
"25",1.51183860598984e-06,0
"26",1.1192090511322e-06,1.11999973297119e-07
"27",1.33802285533856e-06,0
"28",1.1192090511322e-06,1.11999973297119e-07
"29",1.47906036686077e-06,0
"30",1.21698435912009e-06,1.11999951395406e-07
"31",1.51636658578359e-06,0
"32",1.39728579915388e-06,0
"33",1.13877011022505e-06,1.39770387488285e-07
"34",1.50528151246282e-06,0
"35",1.45821226241421e-06,3.98188562365316e-09
"36",1.53533758445509e-06,0
"37",1.13903384638369e-06,1.40034124173867e-07
"38",1.1192090511322e-06,1.11999973297119e-07
"39",1.20708594583139e-06,1.11999953612655e-07
"40",1.1192090511322e-06,1.11999973297119e-07
"41",1.19210926616801e-06,1.11999956967438e-07
"42",1.37837880560051e-06,0
"43",1.56128191878002e-06,0
"44",1.21505627812183e-06,1.11999951827297e-07
"45",1.1398250165175e-06,1.4082529588844e-07
"46",1.39836468207823e-06,0
"47",1.51240493721268e-06,0
"48",1.5181524858303e-06,0
"49",1.59651174750624e-06,0
"50",1.21506430203597e-06,1.119999518255e-07
"51",1.19455186759094e-06,1.11999956420294e-07
"52",1.12698438269388e-06,1.27984636409183e-07
"53",1.14059699224018e-06,1.41597273153528e-07
"54",1.49815720395334e-06,0
"55",1.1192090511322e-06,1.11999973297119e-07
"56",1.14044550554393e-06,1.4144578615461e-07
"57",1.50228141848346e-06,0
"58",1.53541789357344e-06,0
"59",1.03667624906734e-06,1.4867651134082e-07
"60",1.22663185636461e-06,1.11999949234363e-07
"61",1.57072409711749e-06,0
"62",1.1192090511322e-06,1.11999973297119e-07
"63",1.45815916079935e-06,0
"64",1.50531835963504e-06,0
"65",1.56879441841652e-06,0
"66",1.49344390066939e-06,0
"67",1.52352664606445e-06,0
"68",1.59759744009168e-06,0
"69",1.54429825988189e-06,0
"70",1.43373234331465e-06,5.43099838898111e-08
"71",1.5146448099521e-06,0
"72",1.45310249878146e-06,0
"73",1.43236808905616e-06,0
"74",1.2073371259921e-06,1.11999953556391e-07
"75",1.48053535997269e-06,0
"76",1.55569232667403e-06,0
"77",1.55819600037285e-06,0
"78",1.57139576311955e-06,0
"79",1.13899017900505e-06,1.39990456707979e-07
"80",1.56988314604421e-06,0
"81",1.1192090511322e-06,1.11999973297119e-07
"82",1.1192090511322e-06,1.11999973297119e-07
"83",1.46746275308059e-06,0
"84",1.46621734437959e-06,0
"85",1.44885772138229e-06,0
"86",1.21066965459084e-06,1.11999952809903e-07
"87",1.56753665756508e-06,0
"88",1.38994193986047e-06,0
"89",1.54300279892869e-06,0
"90",1.13451478833153e-06,1.35515057092613e-07
"91",1.23221419497853e-06,1.11999947983916e-07
"92",1.44652561650685e-06,0
"93",1.1192090511322e-06,1.11999973297119e-07
"94",1.40278501199506e-06,0
"95",1.57508383599055e-06,0
"96",1.1192090511322e-06,1.11999973297119e-07
"97",1.37942062234668e-06,0
"98",1.1192090511322e-06,1.11999973297119e-07
"99",1.38131638043315e-06,0
"100",1.1192090511322e-06,1.11999973297119e-07
"101",1.1192090511322e-06,1.11999973297119e-07
"102",1.44878934458742e-06,0
"103",1.22743126315687e-06,1.11999949055295e-07
"104",1.54371188956643e-06,0
"105",1.43708661913306e-06,0
"106",1.53842257007558e-06,0
"107",1.1920699486901e-06,1.11999956976245e-07
"108",1.1192090511322e-06,1.11999973297119e-07
"109",1.50917094282442e-06,0
"110",1.13388172733907e-06,1.34881994835296e-07
"111",1.19687031353744e-06,1.11999955900962e-07
"112",1.52216362863399e-06,0
"113",1.39207556240599e-06,0
"114",1.56692214096915e-06,0
"115",1.5825406974791e-06,0
"116",1.3778953485152e-06,0
"117",1.40898512988832e-06,0
"118",1.1192090511322e-06,1.11999973297119e-07
"119",1.50050183253927e-06,0
"120",1.39205847261929e-06,0
"121",1.48442104763732e-06,0
"122",1.48036933201675e-06,0
"123",1.5185740542775e-06,0
"124",1.48974228552646e-06,0
"125",1.50666046931906e-06,0
"126",1.1192090511322e-06,1.11999973297119e-07
"127",1.03722180274285e-06,1.49222065985242e-07
"128",1.1192090511322e-06,1.11999973297119e-07
"129",1.48757570290873e-06,0
"130",1.1192090511322e-06,1.11999973297119e-07
"131",1.21653281369868e-06,1.11999951496553e-07
"132",1.1192090511322e-06,1.11999973297119e-07
"133",1.44740543380453e-06,0
"134",1.51394635290565e-06,0
"135",1.13368477509072e-06,1.34685042193438e-07
"136",1.44111536274304e-06,0
"137",1.38685535382085e-06,0
"138",1.1192090511322e-06,1.11999973297119e-07
"139",1.20512473501991e-06,1.11999954051967e-07
"140",1.49759597608807e-06,0
"141",1.46069762169298e-06,0
"142",1.13637965519957e-06,1.37379927686669e-07
"143",1.10309484275265e-06,1.04095048736553e-07
"144",1.5046878176486e-06,0
"145",1.21363476659514e-06,1.11999952145717e-07
"146",1.38807149208178e-06,0
"147",1.47845134850264e-06,0
"148",1.20274506315995e-06,1.11999954585015e-07
