"","optimal_launch_pfn","satellites","debris","p","F","L(satellites, debris)","G(satellites, debris)","satellites:debris","satellites:p","satellites:F","satellites:L(satellites, debris)","satellites:G(satellites, debris)","debris:p","debris:F","debris:L(satellites, debris)","debris:G(satellites, debris)","p:F","p:L(satellites, debris)","p:G(satellites, debris)","F:L(satellites, debris)","F:G(satellites, debris)","L(satellites, debris):G(satellites, debris)","satellites:debris:p","satellites:debris:F","satellites:debris:L(satellites, debris)","satellites:debris:G(satellites, debris)","satellites:p:F","satellites:p:L(satellites, debris)","satellites:p:G(satellites, debris)","satellites:F:L(satellites, debris)","satellites:F:G(satellites, debris)","satellites:L(satellites, debris):G(satellites, debris)","debris:p:F","debris:p:L(satellites, debris)","debris:p:G(satellites, debris)","debris:F:L(satellites, debris)","debris:F:G(satellites, debris)","debris:L(satellites, debris):G(satellites, debris)","p:F:L(satellites, debris)","p:F:G(satellites, debris)","p:L(satellites, debris):G(satellites, debris)","F:L(satellites, debris):G(satellites, debris)","satellites:debris:p:F","satellites:debris:p:L(satellites, debris)","satellites:debris:p:G(satellites, debris)","satellites:debris:F:L(satellites, debris)","satellites:debris:F:G(satellites, debris)","satellites:debris:L(satellites, debris):G(satellites, debris)","satellites:p:F:L(satellites, debris)","satellites:p:F:G(satellites, debris)","satellites:p:L(satellites, debris):G(satellites, debris)","satellites:F:L(satellites, debris):G(satellites, debris)","debris:p:F:L(satellites, debris)","debris:p:F:G(satellites, debris)","debris:p:L(satellites, debris):G(satellites, debris)","debris:F:L(satellites, debris):G(satellites, debris)","p:F:L(satellites, debris):G(satellites, debris)","satellites:debris:p:F:L(satellites, debris)","satellites:debris:p:F:G(satellites, debris)","satellites:debris:p:L(satellites, debris):G(satellites, debris)","satellites:debris:F:L(satellites, debris):G(satellites, debris)","satellites:p:F:L(satellites, debris):G(satellites, debris)","debris:p:F:L(satellites, debris):G(satellites, debris)","satellites:debris:p:F:L(satellites, debris):G(satellites, debris)"
"1",10000,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",9107.71641152281,909.090909090909,0,1,5,0.00117921121173872,360.646393997413,0,909.090909090909,4545.45454545455,1.07201019248974,327860.358179467,0,0,0,0,5,0.00117921121173872,360.646393997413,0.00589605605869359,1803.23196998707,0.425278271274889,0,0,0,0,4545.45454545455,1.07201019248974,327860.358179467,5.36005096244872,1639301.79089733,386.616610249899,0,0,0,0,0,0,0.00589605605869359,1803.23196998707,0.425278271274889,2.12639135637444,0,0,0,0,0,0,5.36005096244872,1639301.79089733,386.616610249899,1933.0830512495,0,0,0,0,2.12639135637444,0,0,0,0,1933.0830512495,0,0
"3",8218.8584597414,1818.18181818182,0,1,5,0.00309613937297373,1893.82782161641,0,1818.18181818182,9090.90909090909,5.6293443144977,3443323.31202983,0,0,0,0,5,0.00309613937297373,1893.82782161641,0.0154806968648687,9469.13910808204,5.86355488413964,0,0,0,0,9090.90909090909,5.6293443144977,3443323.31202983,28.1467215724885,17216616.5601492,10661.0088802539,0,0,0,0,0,0,0.0154806968648687,9469.13910808204,5.86355488413964,29.3177744206982,0,0,0,0,0,0,28.1467215724885,17216616.5601492,10661.0088802539,53305.0444012694,0,0,0,0,29.3177744206982,0,0,0,0,53305.0444012694,0,0
"4",7335.40198345979,2727.27272727273,0,1,5,0.00575078448370505,5276.40765129711,0,2727.27272727273,13636.3636363636,15.683957682832,14390202.6853558,0,0,0,0,5,0.00575078448370505,5276.40765129711,0.0287539224185253,26382.0382564856,30.3434832507821,0,0,0,0,13636.3636363636,15.683957682832,14390202.6853558,78.4197884141598,71951013.4267788,82754.9543203147,0,0,0,0,0,0,0.0287539224185253,26382.0382564856,30.3434832507821,151.71741625391,0,0,0,0,0,0,78.4197884141598,71951013.4267788,82754.9543203147,413774.771601574,0,0,0,0,151.71741625391,0,0,0,0,413774.771601574,0,0
"5",6459.32447025533,3636.36363636364,0,1,5,0.00914314654393267,11185.2492514797,0,3636.36363636364,18181.8181818182,33.2478056143006,40673633.6417442,0,0,0,0,5,0.00914314654393267,11185.2492514797,0.0457157327196633,55926.2462573983,102.268373036692,0,0,0,0,18181.8181818182,33.2478056143006,40673633.6417442,166.239028071503,203368168.208721,371884.992860697,0,0,0,0,0,0,0.0457157327196633,55926.2462573983,102.268373036692,511.341865183458,0,0,0,0,0,0,166.239028071503,203368168.208721,371884.992860697,1859424.96430349,0,0,0,0,511.341865183458,0,0,0,0,1859424.96430349,0,0
"6",5592.6037957265,4545.45454545455,0,1,5,0.0132732255536566,20297.2159906042,0,4545.45454545455,22727.2727272727,60.3328434257117,92260072.6845645,0,0,0,0,5,0.0132732255536566,20297.2159906042,0.0663661277682829,101486.079953021,269.409525954574,0,0,0,0,22727.2727272727,60.3328434257117,92260072.6845645,301.664217128559,461300363.422822,1224588.75433898,0,0,0,0,0,0,0.0663661277682829,101486.079953021,269.409525954574,1347.04762977287,0,0,0,0,0,0,301.664217128559,461300363.422822,1224588.75433898,6122943.77169487,0,0,0,0,1347.04762977287,0,0,0,0,6122943.77169487,0,0
"7",4737.21550447945,5454.54545454545,0,1,5,0.0181410215128768,33289.1712371108,0,5454.54545454545,27272.7272727273,98.9510264338735,181577297.656968,0,0,0,0,5,0.0181410215128768,33289.1712371108,0.090705107564384,166445.856185554,603.899571558267,0,0,0,0,27272.7272727273,98.9510264338735,181577297.656968,494.755132169367,907886488.28484,3293997.66304509,0,0,0,0,0,0,0.090705107564384,166445.856185554,603.899571558267,3019.49785779133,0,0,0,0,0,0,494.755132169367,907886488.28484,3293997.66304509,16469988.3152255,0,0,0,0,3019.49785779133,0,0,0,0,16469988.3152255,0,0
"8",3895.13808542638,6363.63636363636,0,1,5,0.0237465344215933,50837.9783594397,0,6363.63636363636,31818.1818181818,151.114309955594,323514407.741889,0,0,0,0,5,0.0237465344215933,50837.9783594397,0.118732672107967,254189.891797198,1207.22580303665,0,0,0,0,31818.1818181818,151.114309955594,323514407.741889,755.571549777969,1617572038.70944,7682346.01932414,0,0,0,0,0,0,0.118732672107967,254189.891797198,1207.22580303665,6036.12901518325,0,0,0,0,0,0,755.571549777969,1617572038.70944,7682346.01932414,38411730.0966207,0,0,0,0,6036.12901518325,0,0,0,0,38411730.0966207,0,0
"9",3068.34889726218,7272.72727272727,0,1,5,0.0300897642798061,73620.5007260309,0,7272.72727272727,36363.6363636364,218.834649307681,535421823.462043,0,0,0,0,5,0.0300897642798061,73620.5007260309,0.150448821399031,368102.503630154,2215.22351300757,0,0,0,0,36363.6363636364,218.834649307681,535421823.462043,1094.1732465384,2677109117.31021,16110716.4582368,0,0,0,0,0,0,0.150448821399031,368102.503630154,2215.22351300757,11076.1175650378,0,0,0,0,0,0,1094.1732465384,2677109117.31021,16110716.4582368,80553582.2911842,0,0,0,0,11076.1175650378,0,0,0,0,80553582.2911842,0,0
"10",2258.82273467976,8181.81818181818,0,1,5,0.0371707110875152,102313.601705325,0,8181.81818181818,40909.0909090909,304.123999806943,837111286.679929,0,0,0,0,5,0.0371707110875152,102313.601705325,0.185853555437576,511568.008526623,3803.06932931173,0,0,0,0,40909.0909090909,304.123999806943,837111286.679929,1520.61999903471,4185556433.39964,31116021.7852778,0,0,0,0,0,0,0.185853555437576,511568.008526623,3803.06932931173,19015.3466465586,0,0,0,0,0,0,1520.61999903471,4185556433.39964,31116021.7852778,155580108.926389,0,0,0,0,19015.3466465586,0,0,0,0,155580108.926389,0,0
