"","year","time.oa","launches.oa","satellites.oa","debris.oa","runaway.oa","kessler.oa","fleet_flowv.oa","fleet_pv.oa","fleet_vfn_path.oa","collision_rate.oa","returns.oa","costs.oa","start_time.oa","R_frac.oa","R_start_year.oa","time.opt","launches.opt","satellites.opt","debris.opt","runaway.opt","kessler.opt","fleet_flowv.opt","fleet_pv.opt","fleet_vfn_path.opt","collision_rate.opt","returns.opt","costs.opt","start_time.opt","R_frac.opt","R_start_year.opt","X","payloads_in_orbit","launch_successes","payloads_decayed","launch_failures","num_destr_asat","num_destr_satsat","num_destr_debsat","debris","risk.x","tot_rev","tot_cost","r_s","r_s_raw","risk.y","share_in_LEO","Ft_Ft","implied_r"
"49",2006,1,0,1881,4019,"yes","no",1881,1881,10266.0110200598,4.75053025179178,1,2.75780806360023,0,0,2029,1,0,1881,4019,"yes","no",1881,1881,71356.0646967713,4.75053025179178,1,2.75780806360023,0,0,2029,49,1881,43,18,21,0,0,0,4019,4.1071734234289,70.44,161.019,0.437463901775567,0.437463901775567,0.00218350527561345,0.449275362318841,1.20646016903435,0.435280396499953
"50",2007,2,65,1813.92751677978,4355.33202205445,"yes","no",1773.3159520801,1688.87233531438,10388.9838137522,4.44021124871887,1.04869392390687,1.98367404883589,0,0,2029,2,0,1813.92751677978,4355.33202205445,"yes","no",1902.25476525443,1811.67120500422,72959.5013692564,4.44021124871887,1.04869392390687,1.98367404883589,0,0,2029,50,1918,59,22,6,1,0,0,6542,4.7396772164971,73.868,185.503,0.39820380263392,0.39820380263392,0.00247115600443019,0.574468085106383,1.15205658959502,0.395732646629489
"51",2008,3,65,1814.3829406422,5223.37024413396,"no","no",2073.36657332351,1880.60460165398,11151.1023151019,4.48262849292163,1.21379897785349,1.98353208404316,0,0,2029,3,0.000145149110288401,1749.3829406422,4938.67301885322,"no","no",2123.39893731792,1925.98543067385,74604.3716248025,4.1630257938902,1.21379897785349,1.98353208404316,0,0,2029,51,1957,59,20,6,1,0,0,6933,5.08921643427632,85.504,169.996,0.502976540624485,0.502976540624485,0.00260051938389183,0.517647058823529,0.916405664598416,0.500376021240594
"52",2009,4,77,1814.7822287334,5869.19214038456,"no","no",2276.87158157198,1966.84727918971,11593.1342258385,4.51449134071878,1.32112436115843,1.56729131175468,0,0,2029,4,77,1687.25041619129,5243.26939705449,"no","no",2108.38619719991,1821.30326936608,76041.7932664044,3.8934215891426,1.32112436115843,1.56729131175468,0,0,2029,52,2008,72,21,5,0,1,0,9175,5.76191251482962,93.055,137.815,0.675216776112905,0.675216776112905,0.00286947834403866,0.591836734693878,0.810695545777548,0.672347297768866
"53",2010,5,77,1827.13744949169,5939.97222991066,"no","no",2472.14015471183,2033.83582331381,11330.3740223583,4.57757081904972,1.44108461101647,2.08986371379898,0,0,2029,5,0.024903762652535,1704.44220441129,5218.24308992132,"no","no",2456.1933856742,2020.71637696161,72430.0029755249,3.96970420414299,1.44108461101647,2.08986371379898,0,0,2029,53,2033,60,35,6,0,0,0,9518,5.69780954361475,101.507,136.162,0.745486993434292,0.745486993434292,0.00280266086749373,0.511904761904762,0.988005659761274,0.742684332566798
"54",2011,6,77,1839.02129205493,6019.21540511953,"no","no",2675.39860061412,2096.24480931426,11505.2745377766,4.63918034669734,1.54514480408859,2.15786484951732,0,0,2029,6,45.7202706709696,1644.01410103449,4896.74872664381,"no","no",2441.5816810705,1913.04313468879,73456.7643067841,3.68763387117729,1.54514480408859,2.15786484951732,0,0,2029,54,2063,67,37,9,0,0,0,9662,5.77111052579584,108.839,166.985,0.651789082851753,0.651789082851753,0.00279743602801543,0.540816326530612,1.2263700591942,0.648991646823738
"55",2012,7,77,1850.45083495891,6104.09217524435,"no","no",2798.63519512411,2088.38467217077,11491.8102076103,4.69923182123569,1.62620670073822,2.73480976717774,0,0,2029,7,0.189440953420882,1631.56125997661,4747.34898911057,"no","no",2652.73776866914,1979.5137662204,74559.8252433825,3.62732844974648,1.62620670073822,2.73480976717774,0,0,2029,55,2095,63,31,6,0,0,0,9427,5.66013796698894,114.545,186.885,0.612917034539958,0.612917034539958,0.00270173649975606,0.514851485148515,1.11917238075276,0.610215298040202
"56",2013,8,39.7884624235438,1861.44267463064,6192.53681556937,"no","no",3048.32678218304,2166.38893223311,11542.523529303,4.75767110158394,1.70712663259512,3.25198750709824,0,0,2029,8,0.0110748051754923,1574.04952806239,4417.10413722622,"no","no",2687.06585525101,1909.64753615702,75480.288047189,3.36969136725875,1.70712663259512,3.25198750709824,0,0,2029,56,2209,151,37,8,0,0,3,9410,5.74487965357175,120.249,215.897,0.556973927382039,0.556973927382039,0.00260066982959337,0.792452830188679,1.15523985338577,0.554373257552445
"57",2014,9,164,1834.80137099251,6120.05212941152,"no","no",2691.39001815527,1821.63870285859,11645.1093139825,4.62330173988263,1.74872231686542,3.15346394094265,0,0,2029,9,0,1518.51883284591,4075.88739560073,"no","no",2655.46777157807,1797.32511240264,76404.7196895158,3.12905057334968,1.74872231686542,3.15346394094265,0,0,2029,57,2256,131,84,33,0,0,0,9130,5.88826953659207,123.183,254.387,0.484234650355561,0.484234650355561,0.00261004855345393,0.676646706586826,1.17827945733382,0.481624601802107
"58",2015,10,83.2628736330665,1933.38643498711,6551.14198340523,"no","no",3066.22219330749,1976.5141649109,12080.6736324841,5.13817746828449,1.71473594548552,2.99082907438955,0,0,2029,1,0,1933.38643498711,6551.14198340523,"no","no",1933.38643498711,1933.38643498711,73315.2314546743,5.13817746828449,1.71473594548552,2.99082907438955,9,0,2029,58,2271,89,74,28,0,0,0,9331,5.96119901784433,NA,NA,NA,NA,NA,NA,NA,NA
"59",2015,10,83.2628736330665,1933.38643498711,6551.14198340523,"no","no",3066.22219330749,1976.5141649109,12080.6736324841,5.13817746828449,1.71473594548552,2.99082907438955,0,0,2029,10,8.06138175948562,1465.05423134377,3738.52425350753,"no","no",2488.0709376248,1603.83271057532,77403.9455927463,2.90543767508284,1.71473594548552,2.99082907438955,0,0,2029,58,2271,89,74,28,0,0,0,9331,5.96119901784433,NA,NA,NA,NA,NA,NA,NA,NA
"60",2016,11,49.8522363706321,1947.46197396136,6744.26936556693,"no","no",3188.3231753515,1957.35385391944,12110.975913382,5.2204484870661,1.71475014196479,3.0307069846678,0,0,2029,2,0.000246092718214186,1864.1991003283,6379.5815333787,"no","no",1954.9737812992,1861.87979171352,75216.3904864588,4.78023404134723,1.71475014196479,3.0307069846678,9,0,2029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",2016,11,49.8522363706321,1947.46197396136,6744.26936556693,"no","no",3188.3231753515,1957.35385391944,12110.975913382,5.2204484870661,1.71475014196479,3.0307069846678,0,0,2029,11,6.0827993974586,1421.64308996267,3449.83105677098,"no","no",2419.32750771654,1485.25722164292,78639.9041005505,2.72942072871444,1.71475014196479,3.0307069846678,0,0,2029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",2017,12,36.6288303641455,1927.57980090551,6777.57996816303,"no","no",3187.00307917207,1863.37469464661,11960.3312664911,5.1194991894807,1.71475014196479,3.23009653605906,0,0,2029,3,4.47207198419619e-05,1797.65620877768,6092.10651653542,"no","no",2181.99318004134,1979.13213609192,77120.8442379541,4.44252142440532,1.71475014196479,3.23009653605906,9,0,2029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",2017,12,36.6288303641455,1927.57980090551,6777.57996816303,"no","no",3187.00307917207,1863.37469464661,11960.3312664911,5.1194991894807,1.71475014196479,3.23009653605906,0,0,2029,12,13.2521913133716,1377.86549144205,3172.97143681206,"no","no",2319.88918980213,1356.39116225282,80014.8449426461,2.55797667561038,1.71475014196479,3.23009653605906,0,0,2029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",2018,13,53.4754944986637,1895.23222901957,6698.16500989733,"no","no",3064.32377839317,1706.33014122055,11771.856014395,4.95088787233913,1.71475014196479,3.46936399772856,0,0,2029,4,192,1733.64991559463,5731.25026756857,"no","no",1989.44720535543,1718.55929627939,78399.7994343169,4.12560334940077,1.71475014196479,3.46936399772856,9,0,2029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",2018,13,53.4754944986637,1895.23222901957,6698.16500989733,"no","no",3064.32377839317,1706.33014122055,11771.856014395,4.95088787233913,1.71475014196479,3.46936399772856,0,0,2029,13,20.5479870438084,1342.87716138926,2948.48579894887,"no","no",2231.41035665792,1242.53278189606,81575.0779327057,2.42483237345248,1.71475014196479,3.46936399772856,0,0,2029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",2019,14,55.3894300854554,1880.96879666732,6636.5435304712,"no","no",3176.59047903837,1684.61375329061,11829.6287339132,4.8761572271508,1.79449176604202,3.58899772856332,0,0,2029,14,31.0417781994467,1316.47552958942,2777.08277629398,"no","no",2250.99562659565,1193.75104099286,83315.8408661874,2.32664618001473,1.79449176604202,3.58899772856332,0,0,2029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
