"","year","time.oa","launches.oa","satellites.oa","debris.oa","fleet_flowv.oa","fleet_pv.oa","fleet_vfn_path.oa","collision_rate.oa","returns.oa","costs.oa","time.opt","launches.opt","satellites.opt","debris.opt","fleet_flowv.opt","fleet_pv.opt","fleet_vfn_path.opt","collision_rate.opt","returns.opt","costs.opt","X","payloads_in_orbit","launch_successes","payloads_decayed","launch_failures","num_destr_asat","num_destr_satsat","num_destr_debsat","debris","risk.x","tot_rev","tot_cost","r_s","r_s_raw","risk.y","share_in_LEO","Ft_Ft","implied_r","riskPoA","PoA","flow_welfare_loss","npv_welfare_loss","opt_tax_path","NPVPoA"
"1",2006,1,64,1881,4019,1704.50028392959,1704.50028392959,4626.92211810025,0.00431045449557945,1,2.75780806360023,1,62.5561787900679,1881,4019,1708.48206570473,1708.48206570473,75389.1406664858,0.00431045449557945,1,2.75780806360023,49,1881,43,18,21,0,0,0,4019,0.00443443535519108,70.44,161.019,0.196541752971631,0.437463901775567,0.00443443535519108,0.449275362318841,1.20646016903435,0.19210731761644,1,1.00233604054672,-0.149110424370764,-2649.91529747383,0,16.2935832378868
"2",2007,2,65,1903.51070544095,4339.60992445271,1831.13480708295,1743.93791150757,4912.21595404562,0.00447030152858245,1.04869392390687,2.53946621237933,2,50.2548262247014,1902.06688423102,4336.43851020754,1867.06555115092,1778.15766776278,75803.8542496025,0.00446516813098817,1.04869392390687,2.53946621237933,50,1918,59,22,6,1,0,0,6542,0.00562843063497183,73.868,185.503,0.228755375981188,0.39820380263392,0.00562843063497183,0.574468085106383,1.15205658959502,0.223126945346216,1.001149653819,1.01962211844206,-1.32962825210979,-2623.36691213,482.404516580616,15.4317023027401
"3",2008,3,65,1926.22604392495,6120.25272910589,2195.15086251538,1991.06654196407,5353.66261160673,0.00509763415078569,1.21379897785349,2.1984667802385,3,43.4129838452372,1910.07871207733,6082.37298987529,2223.0095855244,2016.33522496544,76600.2154080136,0.00503619419437091,1.21379897785349,2.1984667802385,51,1957,59,20,6,1,0,0,6933,0.00603563311350029,85.504,169.996,0.260364326911498,0.502976540624485,0.00603563311350029,0.517647058823529,0.916405664598416,0.254328693797998,1.01219967976681,1.01269102888769,-1.01876332476343,-2605.40926378131,4939.49901695132,14.3080020100528
"4",2009,4,77,1947.24993608905,7555.03944274596,2428.84567081839,2098.12821148333,5747.16473127346,0.00565175711956523,1.32112436115843,1.86641113003975,4,35.3630729176236,1909.99949823476,7440.25288483657,2457.34483403247,2122.74686019434,78804.8359403441,0.00549444825935558,1.32112436115843,1.86641113003975,52,2008,72,21,5,0,1,0,9175,0.00693753228032124,93.055,137.815,0.399618091985189,0.675216776112905,0.00693753228032124,0.591836734693878,0.810695545777548,0.392680559704867,1.02863051079638,1.01173362455939,-1.03093137639632,-2642.7949820878,10620.8224575935,13.7119500875839
"5",2010,5,77,1978.73406461821,7372.26375874819,2697.96046137698,2219.61874846549,6038.20644019268,0.00568724037937916,1.44108461101647,1.99432140829074,5,44.4048483402016,1901.01251232822,7092.57355505768,2650.96233718919,2180.95327538562,79394.9982645601,0.00534654004994087,1.44108461101647,1.99432140829074,53,2033,60,35,6,0,0,0,9518,0.00678180603491688,101.507,136.162,0.381618341877078,0.745486993434292,0.00678180603491688,0.511904761904762,0.988005659761274,0.374836535842161,1.06372351581694,0.982580128633982,1.67306356472247,-2611.39306615488,24187.9811619483,13.1487717505112
"6",2011,6,77,2009.41330884166,7281.41439383555,2941.85994512104,2305.0242450878,6335.81794020048,0.00575309508437258,1.54514480408859,2.11655309483248,6,46.6972167478914,1901.55214289962,6783.6171931652,2839.33627467705,2224.69426661254,80898.921136244,0.0052432306903936,1.54514480408859,2.11655309483248,54,2063,67,37,9,0,0,0,9662,0.00683078232376902,108.839,166.985,0.352498177460642,0.651789082851753,0.00683078232376902,0.540816326530612,1.2263700591942,0.345667395136873,1.09724241104118,0.965150050527041,3.59396810715746,-2613.81019326333,37829.7895031594,12.768504698177
"7",2012,7,77,2039.2444030382,7273.54993247017,3135.11238455459,2339.46913154081,6520.76313410119,0.00584617173862078,1.62620670073822,2.35221465076661,7,52.7549165220744,1904.56463684428,6520.751103312,2973.12488688203,2218.5915667149,81777.9488420463,0.00516426470196164,1.62620670073822,2.35221465076661,55,2095,63,31,6,0,0,0,9427,0.00654206309353886,114.545,186.885,0.315561245505721,0.612917034539958,0.00654206309353886,0.514851485148515,1.11917238075276,0.309019182412182,1.13204339359292,0.948331199075796,5.59540549384617,-2599.54920232696,55405.4122868847,12.5411623088067
"8",2013,8,159,2068.18881999855,7339.40238856713,3145.14616134052,2235.19665739513,6737.10491157081,0.00596345756470025,1.70712663259512,2.42461669505963,8,59.9721500142182,1913.71333922282,6315.69464534783,3121.54153237672,2218.4212882859,81661.3660336703,0.0051240238965952,1.70712663259512,2.42461669505963,56,2209,151,37,8,0,0,3,9410,0.00675067599600084,120.249,215.897,0.4413755650952,0.556973927382039,0.00675067599600084,0.792452830188679,1.15523985338577,0.4346248890992,1.16382313686375,0.99249490238198,0.803945001603551,-2551.82936026333,69320.0131387242,12.1211361713277
"9",2014,9,164,2178.21290475651,7650.64001682401,3411.70848392827,2309.17859368987,7327.15432493964,0.00644171351026583,1.74872231686542,2.42305508233958,9,59.571382076035,1929.9454465519,6178.84226927962,3230.59393261677,2186.59313632608,81657.9399044745,0.00512827541391849,1.74872231686542,2.42305508233958,57,2256,131,84,33,0,0,0,9130,0.00707092874183037,123.183,254.387,0.327655781378313,0.484234650355561,0.00707092874183037,0.676646706586826,1.17827945733382,0.320584852636483,1.25611691852247,0.946913825678636,5.85696144142885,-2403.74139956155,102918.137063201,11.1445639443587
"10",2015,10,123.25206645783,2289.60837928646,8232.8163479087,2853.19284211501,2459.063750862,7772.93909005411,0.00704624861385286,1.79657864849517,2.42305508233958,10,55.9358726187672,1945.39772415946,6100.09067989485,1295.0879355613,2165.5793268112,81548.2626985738,0.00514949892843497,1.79657864849517,2.42305508233958,58,2271,89,74,28,0,0,0,9331,0.00709100620212106,126.551,239.109,0.384916882714958,0.529260713733067,0.00709100620212106,0.727272727272727,0.939941899546754,0.377825876512837,1.36833674727928,0.453908308069802,47.9352323351679,-2269.70421754119,141394.152482974,10.4913034508297
