"","year","time.oa","launches.oa","satellites.oa","debris.oa","fleet_flowv.oa","fleet_pv.oa","fleet_vfn_path.oa","collision_rate.oa","returns.oa","costs.oa","time.opt","launches.opt","satellites.opt","debris.opt","fleet_flowv.opt","fleet_pv.opt","fleet_vfn_path.opt","collision_rate.opt","returns.opt","costs.opt","X","payloads_in_orbit","launch_successes","payloads_decayed","launch_failures","num_destr_asat","num_destr_satsat","num_destr_debsat","debris","risk.x","tot_rev","tot_cost","r_s","r_s_raw","risk.y","share_in_LEO","Ft_Ft","implied_r","riskPoA","flowWelfPoA","NPVPoA","flow_welfare_loss","npv_welfare_loss","opt_tax_path"
"1",2006,1,64,1881,4019,1704.50028392959,1704.50028392959,4634.99193007061,0.00431045449557945,1,2.75780806360023,1,64,1881,4019,1704.50028392959,1704.50028392959,35610.4731098263,0.00431045449557945,1,2.75780806360023,49,1881,43,18,21,0,0,0,4019,0.00443443535519108,70.44,161.019,0.196541752971631,0.437463901775567,0.00443443535519108,0.449275362318841,1.20646016903435,0.19210731761644,1,1,7.6829633464505,0,-1159.97495709835,0
"2",2007,2,65,1903.51070544095,4339.60992445271,1831.13480708295,1743.93791150757,4924.89883649324,0.00447030152858245,1.04869392390687,2.53946621237933,2,65,1903.51070544095,4339.60992445271,1831.13480708295,1743.93791150757,36321.5668738608,0.00447030152858245,1.04869392390687,2.53946621237933,50,1918,59,22,6,1,0,0,6542,0.00562843063497183,73.868,185.503,0.228755375981188,0.39820380263392,0.00562843063497183,0.574468085106383,1.15205658959502,0.223126945346216,1,1,7.37508892664351,0,-1161.84337194986,0
"3",2008,3,65,1926.22604392495,6120.25272910589,2195.15086251538,1991.06654196407,5406.77423158309,0.00509763415078569,1.21379897785349,2.1984667802385,3,65,1926.22604392495,6120.25272910589,2195.15086251538,1991.06654196407,35771.1358220766,0.00509763415078569,1.21379897785349,2.1984667802385,51,1957,59,20,6,1,0,0,6933,0.00603563311350029,85.504,169.996,0.260364326911498,0.502976540624485,0.00603563311350029,0.517647058823529,0.916405664598416,0.254328693797998,1,1,6.61598474245945,0,-1110.39181366073,0
"4",2009,4,77,1947.24993608905,7555.03944274596,2428.84567081839,2098.12821148333,5735.98415895955,0.00565175711956523,1.32112436115843,1.86641113003975,4,0,1947.24993608905,7555.03944274596,2572.55932783145,2222.27347183367,38534.4178091471,0.00565175711956523,1.32112436115843,1.86641113003975,52,2008,72,21,5,0,1,0,9175,0.00693753228032124,93.055,137.815,0.399618091985189,0.675216776112905,0.00693753228032124,0.591836734693878,0.810695545777548,0.392680559704867,1,1.05916953009395,6.71801328965609,-5.19871117332368,-1186.45358436081,0
"5",2010,5,77,1978.73406461821,7372.26375874819,2697.96046137698,2219.61874846549,6006.96592077225,0.00568724037937916,1.44108461101647,1.99432140829074,5,0,1901.73406461821,7203.13000783899,2740.5596947671,2254.66524319977,39362.0483734074,0.00538669349242533,1.44108461101647,1.99432140829074,53,2033,60,35,6,0,0,0,9518,0.00678180603491688,101.507,136.162,0.381618341877078,0.745486993434292,0.00678180603491688,0.511904761904762,0.988005659761274,0.374836535842161,1.05579431749299,1.0157894209348,6.55273375820102,-1.51646957196292,-1187.39149943171,21337.2920769017
"6",2011,6,77,2009.41330884166,7281.41439383555,2941.85994512104,2305.0242450878,6305.97898254349,0.00575309508437258,1.54514480408859,2.11655309483248,6,0,1857.77719712282,6785.17800291857,2870.53478328858,2249.13911446447,39783.9328344818,0.0051102701150529,1.54514480408859,2.11655309483248,54,2063,67,37,9,0,0,0,9662,0.00683078232376902,108.839,166.985,0.352498177460642,0.651789082851753,0.00683078232376902,0.540816326530612,1.2263700591942,0.345667395136873,1.12579080065184,0.975755079044214,6.30892252330901,2.5003041322416,-1173.56994648848,47694.9039076078
"7",2012,7,77,2039.2444030382,7273.54993247017,3135.11238455459,2339.46913154081,6509.72255426659,0.00584617173862078,1.62620670073822,2.35221465076661,7,0,1815.34073310473,6324.24828010388,2952.11926429794,2202.91684772672,40073.689901299,0.00483141690288947,1.62620670073822,2.35221465076661,55,2095,63,31,6,0,0,0,9427,0.00654206309353886,114.545,186.885,0.315561245505721,0.612917034539958,0.00654206309353886,0.514851485148515,1.11917238075276,0.309019182412182,1.2100325548649,0.94163108118287,6.15597509221556,6.32098603368668,-1159.37347009636,82449.5232066464
"8",2013,8,159,2068.18881999855,7339.40238856713,3145.14616134052,2235.19665739513,6740.02421173944,0.00596345756470025,1.70712663259512,2.42461669505963,8,0,1774.37081945961,5843.53321437702,3029.07568199913,2152.70753474795,40434.3305481988,0.00455823583485142,1.70712663259512,2.42461669505963,56,2209,151,37,8,0,0,3,9410,0.00675067599600084,120.249,215.897,0.4413755650952,0.556973927382039,0.00675067599600084,0.792452830188679,1.15523985338577,0.4346248890992,1.30828192764946,0.963095362381531,5.99913728466617,3.95321959279,-1147.58716196032,116042.508749782
"9",2014,9,164,2178.21290475651,7650.64001682401,3411.70848392827,2309.17859368987,7419.8976812358,0.00644171351026583,1.74872231686542,2.42305508233958,9,0,1734.80162932477,5364.48153342464,3033.68632453471,2053.31831649322,41004.749544175,0.00429735373822814,1.74872231686542,2.42305508233958,57,2256,131,84,33,0,0,0,9130,0.00707092874183037,123.183,254.387,0.327655781378313,0.484234650355561,0.00707092874183037,0.676646706586826,1.17827945733382,0.320584852636483,1.49899540569863,0.889198575677162,5.52632277502587,12.2246456485204,-1086.08160389624,168027.342548641
"10",2015,10,92.1557737036615,2289.60837928646,8232.8163479087,2133.43990957657,2507.63376294831,7953.28571501838,0.00704624861385286,1.79657864849517,2.42305508233958,10,0,1696.55936039452,4904.96431955184,0,1964.76947392261,41608.1460306891,0.00405347669275138,1.79657864849517,2.42305508233958,58,2271,89,74,28,0,0,0,9331,0.00709100620212106,126.551,239.109,0.384916882714958,0.529260713733067,0.00709100620212106,0.727272727272727,0.939941899546754,0.377825876512837,1.73832222261282,0,5.23156686702697,65.6354635098807,-1035.39469111073,223097.677364716
