"year","payloads_in_orbit","launch_successes","payloads_decayed","launch_failures","jspoc_debris","num_destr_asat","num_destr_satsat","num_destr_debsat","debris","risk"
1957,2,5,3,1,0,0,0,0,0,0
1958,4,8,7,20,0,0,0,0,0,0
1959,5,20,9,13,4,0,0,0,0,1.84971147051879e-06
1960,16,36,23,29,25,0,0,0,10,1.66975092043146e-05
1961,29,67,50,24,326,0,0,0,165,2.67810752464222e-05
1962,46,58,42,27,355,0,0,0,214,4.1137206043812e-05
1963,62,86,52,35,475,0,0,0,246,5.39698368373692e-05
1964,96,129,67,26,579,1,0,0,271,0.000153200532282525
1965,158,110,88,19,1455,0,0,0,687,0.000158197818453116
1966,180,117,84,23,1563,0,0,0,710,0.000156661349351281
1967,213,108,88,19,1606,0,0,0,789,0.000191350051411021
1968,233,109,88,22,1867,0,0,0,883,0.000328337917632984
1969,254,105,79,25,2093,1,0,0,1045,0.000166640854893173
1970,280,126,65,14,2643,0,0,0,1407,0.000209450533490303
1971,341,105,57,25,2849,3,0,0,1578,0.000253556616798395
1972,389,108,62,12,3063,0,0,0,1539,0.000331376325194183
1973,435,107,59,10,3300,0,0,0,1702,0.000379516358621029
1974,483,128,62,12,3561,0,0,0,1745,0.000456228991540604
1975,549,124,60,9,4151,0,0,0,2221,0.000532828758667379
1976,613,100,53,5,4502,2,0,0,2309,0.000623068623966506
1977,660,122,76,9,4777,0,0,0,2511,0.000725225207429014
1978,706,104,88,6,4914,0,0,0,2479,0.000816849106203065
1979,722,106,90,8,5032,0,0,0,2320,0.000909485416938152
1980,738,128,79,15,5011,0,0,0,2200,0.000980737180456141
1981,787,118,70,5,5399,0,0,0,2513,0.00110785316064111
1982,835,112,74,42,5686,1,0,0,2503,0.00121835832778099
1983,873,114,62,26,5933,0,0,0,2541,0.001355095300856
1984,925,119,65,1,5939,0,0,0,2807,0.00150913711777882
1985,979,113,50,6,6113,1,0,0,3172,0.00174923961870941
1986,1042,114,55,20,6836,0,0,0,3714,0.00189732996902801
1987,1101,104,73,8,7213,0,0,0,3872,0.00214614708238858
1988,1132,89,83,8,6857,0,0,0,3638,0.0023047378290487
1989,1138,111,61,2,6418,0,0,0,3056,0.00237944507320352
1990,1188,93,59,11,6384,0,0,0,3021,0.00256703442887779
1991,1222,85,68,34,6356,0,0,0,3131,0.00266922585224311
1992,1239,72,45,3,6569,0,0,0,3337,0.00278820183922054
1993,1266,67,31,7,8390,0,0,0,3414,0.00299841522748958
1994,1302,52,38,5,9208,0,0,0,3432,0.00315203253485814
1995,1316,48,28,12,9473,0,0,0,3414,0.00327227813850762
1996,1336,101,29,12,9371,0,0,1,3980,0.00339458581009959
1997,1408,334,29,9,9761,0,0,0,3793,0.00352009944437339
1998,1713,80,30,16,9647,0,0,0,3732,0.0037969911802814
1999,1763,56,35,8,13257,0,0,0,3881,0.00389668471066117
2000,1784,47,47,9,13464,0,0,0,3772,0.00394039395704756
2001,1784,59,42,6,13577,0,0,0,3905,0.00397020697930028
2002,1801,44,23,5,13264,0,0,0,3663,0.00407894131841401
2003,1822,38,17,3,13156,0,0,0,3654,0.00414654694814077
2004,1843,36,23,6,13087,0,0,0,3775,0.00432720720684614
2005,1856,43,18,4,12984,0,0,0,3886,0.0043487205793624
2006,1881,59,22,21,13669,0,0,0,4019,0.00443443535519108
2007,1918,59,20,6,13615,1,0,0,6542,0.00562843063497183
2008,1957,72,21,6,13012,1,0,0,6933,0.00603563311350029
2009,2008,60,35,5,12935,0,1,0,9175,0.00693753228032124
2010,2033,67,37,6,12676,0,0,0,9518,0.00678180603491688
2011,2063,63,31,9,12318,0,0,0,9662,0.00683078232376902
2012,2095,151,37,6,12079,0,0,0,9427,0.00654206309353886
2013,2209,131,84,8,11769,0,0,3,9410,0.00675067599600084
2014,2256,89,74,33,11302,0,0,0,9130,0.00707092874183037
2015,2271,0,0,28,11012,0,0,0,9331,0.00709100620212106
2016,0,0,0,0,0,0,0,0,9239,0.00715780543867284
2017,0,0,0,0,0,0,0,0,9749,0.00755750167104021
