"","S2","SD"
"1",1.51715178421496e-06,0
"2",1.19966186586309e-06,1.11999955275653e-07
"3",1.45399797108627e-06,0
"4",1.45131694212621e-06,0
"5",1.40166583882338e-06,0
"6",1.45155104197765e-06,0
"7",1.52160617042379e-06,0
"8",1.13621052610846e-06,1.37210798257635e-07
"9",1.44738152210012e-06,0
"10",1.1192090511322e-06,1.11999973297119e-07
"11",1.13629861535223e-06,1.37298887677407e-07
"12",1.1192090511322e-06,1.11999973297119e-07
"13",1.50043628243746e-06,0
"14",1.51248145642899e-06,0
"15",1.1192090511322e-06,1.11999973297119e-07
"16",1.19987151388373e-06,1.11999955228691e-07
"17",1.52061525732572e-06,0
"18",1.48794113766886e-06,0
"19",1.54396707994621e-06,0
"20",1.58844617029143e-06,0
"21",1.22383895967733e-06,1.11999949859973e-07
"22",1.1192090511322e-06,1.11999973297119e-07
"23",1.14046875760643e-06,1.41469038263572e-07
"24",1.1192090511322e-06,1.11999973297119e-07
"25",1.1192090511322e-06,1.11999973297119e-07
"26",1.20547023493158e-06,1.11999953974575e-07
"27",1.51741597020896e-06,0
"28",1.54009964204025e-06,0
"29",1.57338317965613e-06,0
"30",1.12668893007755e-06,1.2768918320254e-07
"31",1.54651467633874e-06,0
"32",1.36250597530017e-06,0
"33",1.40033888489624e-06,0
"34",1.50369600345562e-06,0
"35",1.1192090511322e-06,1.11999973297119e-07
"36",1.4562200855215e-06,0
"37",1.50627431525755e-06,0
"38",1.22228696034827e-06,1.11999950207621e-07
"39",1.51008095570878e-06,0
"40",1.54136477587427e-06,5.62663932754626e-08
"41",1.38856736094353e-06,0
"42",1.20615535354547e-06,1.11999953821108e-07
"43",1.52278981787562e-06,0
"44",1.20363935065484e-06,1.11999954384694e-07
"45",1.45380611387311e-06,0
"46",1.13804437469475e-06,1.3904465050796e-07
"47",1.1192090511322e-06,1.11999973297119e-07
"48",1.30443155992871e-06,1.11999931807194e-07
"49",1.1192090511322e-06,1.11999973297119e-07
"50",1.46871849567871e-06,0
"51",1.5059303967428e-06,0
"52",1.12650612429345e-06,1.27506377053196e-07
"53",1.20628849953444e-06,1.11999953791284e-07
"54",1.44698384874229e-06,0
"55",1.52017034915897e-06,0
"56",1.41936971575545e-06,0
"57",1.04496439007843e-06,1.56964667071676e-07
"58",1.43375046935516e-06,0
"59",1.53006930429633e-06,0
"60",1.59036196465631e-06,0
"61",1.3878768076869e-06,0
"62",1.46173869431746e-06,0
"63",1.03687860246284e-06,1.48878865095709e-07
"64",1.13311571690237e-06,1.34115982868106e-07
"65",1.22607274843259e-06,1.11999949359603e-07
"66",1.5494228971989e-06,0
"67",1.11196365512008e-06,1.1296387882391e-07
"68",1.45674334427324e-06,0
"69",1.47906042127855e-06,0
"70",1.52103193917065e-06,0
"71",1.50423386723587e-06,0
"72",1.11159236427014e-06,1.12592587232125e-07
"73",1.21472640949898e-06,1.11999951901188e-07
"74",1.51873274926645e-06,0
"75",1.1192090511322e-06,1.11999973297119e-07
"76",1.13862532639919e-06,1.39625603373143e-07
"77",1.50280219736337e-06,0
"78",1.49660564994254e-06,0
"79",1.13874257584948e-06,1.39742853057702e-07
"80",1.1192090511322e-06,1.11999973297119e-07
"81",1.19234725247524e-06,1.11999956914129e-07
"82",1.49068908959451e-06,0
"83",1.1192090511322e-06,1.11999973297119e-07
"84",1.52747635453222e-06,0
"85",1.57912351309722e-06,0
"86",1.57338310977519e-06,0
"87",1.1192090511322e-06,1.11999973297119e-07
"88",1.51861543912735e-06,0
"89",1.4928176971669e-06,0
"90",1.56802842694676e-06,0
"91",1.14072608118808e-06,1.41726362359357e-07
"92",1.14007502729667e-06,1.41075307167131e-07
"93",1.20612230691784e-06,1.11999953828511e-07
"94",1.54271965490103e-06,0
"95",1.52456187141495e-06,0
"96",1.58316171928243e-06,0
"97",1.1192090511322e-06,1.11999973297119e-07
"98",1.13970158313614e-06,1.4070186226046e-07
"99",1.55197256916156e-06,0
"100",1.54242409157471e-06,0
"101",1.13634944749312e-06,1.37349719919858e-07
"102",1.54954692324271e-06,0
"103",1.44761187844122e-06,0
"104",1.44137753947857e-06,0
"105",1.5022371395203e-06,0
"106",1.56952565300315e-06,0
"107",1.49493887858813e-06,0
"108",1.44627263421526e-06,0
"109",1.21841472745512e-06,1.11999951075003e-07
"110",1.52557536090167e-06,0
"111",1.5380831742317e-06,0
"112",1.21266949440629e-06,1.11999952361938e-07
"113",1.14371017552783e-06,1.44710462661337e-07
"114",1.52824312133764e-06,0
"115",1.13793068726587e-06,1.3893096285193e-07
"116",1.50999023007273e-06,0
"117",1.48282173505565e-06,0
"118",1.62925333421684e-06,0
"119",1.43453099027065e-06,4.9079986714138e-08
"120",1.37446709797286e-06,0
"121",1.31240916376232e-06,1.11999930020207e-07
"122",1.5361254261438e-06,0
"123",1.49818300164302e-06,0
"124",1.5230274751677e-06,0
"125",1.13288272437187e-06,1.33882989872083e-07
"126",1.51922146987379e-06,0
"127",1.03746418493062e-06,1.4946444860348e-07
"128",1.47406548278968e-06,0
"129",1.45672232586091e-06,0
"130",1.37346654739014e-06,0
"131",1.1192090511322e-06,1.11999973297119e-07
"132",1.13648896188596e-06,1.37489234591454e-07
"133",1.17492797739156e-06,1.16570918948887e-07
"134",1.52332905975583e-06,0
"135",1.41708301007424e-06,0
