"","year","start_time.opt","time.oa","launches.oa","satellites.oa","debris.oa","runaway.oa","kessler.oa","fleet_flowv.oa","fleet_pv.oa","fleet_vfn_path.oa","collision_rate.oa","returns.oa","costs.oa","start_time.oa","R_frac.oa","R_start_year.oa","time.opt","launches.opt","satellites.opt","debris.opt","runaway.opt","kessler.opt","fleet_flowv.opt","fleet_pv.opt","fleet_vfn_path.opt","collision_rate.opt","returns.opt","costs.opt","R_frac.opt","R_start_year.opt","X","payloads_in_orbit","launch_successes","payloads_decayed","launch_failures","num_destr_asat","num_destr_satsat","num_destr_debsat","debris","risk.x","tot_rev","tot_cost","r_s","r_s_raw","risk.y","share_in_LEO","Ft_Ft","implied_r","bootstrap_draw","riskPoA","flowWelfPoA","NPVPoA","flow_welfare_loss","npv_oa_welfare","npv_opt_welfare","npv_welfare_loss","npv_welfare_gain","opt_tax_path","fe_eqm_next","launch_con","one_period_launch_deviation","one_period_sat_deviation","one_period_deb_deviation","excess_L","opt_dev_tax_path"
"1",2006,0,1,64,1881,4019,"yes","no",1704.50028392959,1704.50028392959,10332.3029946439,4.80049627112167,1,2.75780806360023,0,0,2029,1,0,1881,4019,"yes","no",1881,1881,73186.0277290041,4.80049627112167,1,2.75780806360023,0,2029,49,1881,43,18,21,0,0,0,4019,4.1071734234289,70.44,161.019,0.437463901775567,0.437463901775567,0.00218350527561345,0.449275362318841,1.20646016903435,0.435280396499953,1,1,1.10354924415941,7.0832250822438,-6.60959064327485,386.925796354446,2740.68250570497,-2353.75670935052,2353.75670935052,0,0.00238569471580004,65,0,1813.87921044375,4232.84302674159,0,0
"2",2007,0,2,65,1877.87921044375,4530.85228145828,"yes","no",1840.38170464906,1752.74448061815,10535.8286767309,4.89336591693536,1.04869392390687,1.98367404883589,0,0,2029,2,0,1813.87921044375,4232.84302674159,"yes","no",1902.20410669335,1811.62295875557,74883.3794858055,4.53661252479771,1.04869392390687,1.98367404883589,0,2029,50,1918,59,22,6,1,0,0,6542,4.7396772164971,73.868,185.503,0.39820380263392,0.39820380263392,0.00247115600443019,0.574468085106383,1.15205658959502,0.395732646629489,1,1.04187763245307,1.03359216291279,7.10749783272295,-2.31898301859946,395.203146113726,2808.9055044886,-2413.70235837487,2413.70235837487,7793.40866791995,0.00258611045254846,65,65,1814.24303967288,4705.78746379159,5.32420455737759e-05,4101.43684606413
"3",2008,0,3,65,1875.7722969175,5034.84095318829,"no","no",2147.88091122155,1948.19130269528,11067.0527384857,4.98906659413935,1.21379897785349,1.98353208404316,0,0,2029,3,0,1749.24303967288,4403.12181446995,"no","no",2123.22941357228,1925.83166763926,76444.2038399665,4.28200198493612,1.21379897785349,1.98353208404316,0,2029,51,1957,59,20,6,1,0,0,6933,5.08921643427632,85.504,169.996,0.502976540624485,0.502976540624485,0.00260051938389183,0.517647058823529,0.916405664598416,0.500376021240594,1,1.08653188037876,0.988522875025112,6.90736781023294,0.925726164773715,415.595856799895,2870.67344332577,-2455.07758652588,2455.07758652588,15777.9767026095,0.002846325079909,77,77,1763.99999280775,4763.33228280901,5.67188780470347e-05,4530.39483993811
"4",2009,0,4,77,1873.64284527638,5386.63581363268,"no","no",2354.63377599971,2034.02118648069,11403.7027247549,5.05257502587207,1.32112436115843,1.56729131175468,0,0,2029,4,77,1686.99999280775,4404.78989822799,"no","no",2108.0553567673,1821.01747696128,78004.5280741931,4.01271273965841,1.32112436115843,1.56729131175468,0,2029,52,2008,72,21,5,0,1,0,9175,5.76191251482962,93.055,137.815,0.675216776112905,0.675216776112905,0.00286947834403866,0.591836734693878,0.810695545777548,0.672347297768866,1,1.1337125965346,0.895279503018375,6.84028073661221,9.27016794824036,428.724621641135,2932.59677072321,-2503.87214908208,2503.87214908208,18740.3447841298,0.00289828879333823,77,77,1704.08477040399,4510.71796219462,3.09111970703269e-05,2022.87858394377
"5",2010,0,5,77,1883.52272709195,5542.97959290278,"no","no",2553.39611054946,2100.68529927301,11335.5617893865,5.13288058743949,1.44108461101647,2.08986371379898,0,0,2029,5,0,1704.08477040399,4510.71796219462,"no","no",2455.73033849671,2020.33542690275,78080.0486174875,4.10602603923225,1.44108461101647,2.08986371379898,0,2029,53,2033,60,35,6,0,0,0,9518,5.69780954361475,101.507,136.162,0.745486993434292,0.745486993434292,0.00280266086749373,0.511904761904762,0.988005659761274,0.742684332566798,1,1.13099267421459,0.961750638042709,6.88806166542126,3.65250542743229,423.927442424435,2920.03836508383,-2496.11092265939,2496.11092265939,24668.5691724902,0.00271226621537651,77,77,1720.51184214207,4613.70306706654,2.98471178532544e-05,2578.38946482454
"6",2011,0,6,77,1892.99679826773,5673.10869450641,"no","no",2758.79857358688,2161.59087042118,11539.3100301075,5.20623008786461,1.54514480408859,2.15786484951732,0,0,2029,6,41.3050612280594,1643.51184214207,4255.16068248552,"no","no",2450.33304361269,1919.90005623284,79365.9641403385,3.80198743153537,1.54514480408859,2.15786484951732,0,2029,54,2063,67,37,9,0,0,0,9662,5.77111052579584,108.839,166.985,0.651789082851753,0.651789082851753,0.00279743602801543,0.540816326530612,1.2263700591942,0.648991646823738,1,1.18887347919246,0.888188455319833,6.87787778760279,11.478261321554,429.387413261653,2953.27415194854,-2523.88673868689,2523.88673868689,35083.4689133064,0.00268576161409849,77,77,1662.24485840018,4333.24277562492,2.96421811355474e-05,2741.45364643726
"7",2012,0,7,77,1902.08526331434,5784.233139678,"no","no",2882.60344850451,2151.0430756719,11657.9814652003,5.27412794569376,1.62620670073822,2.73480976717774,0,0,2029,7,0.147950871264555,1626.54991962824,4167.0330553033,"no","no",2644.70176089686,1973.51717349324,80762.6718540559,3.71592393646982,1.62620670073822,2.73480976717774,0,2029,55,2095,63,31,6,0,0,0,9427,5.66013796698894,114.545,186.885,0.612917034539958,0.612917034539958,0.00270173649975606,0.514851485148515,1.11917238075276,0.610215298040202,1,1.2137276935617,0.917469852562942,6.92767200695391,8.810222758302,431.730496128134,2990.8872725752,-2559.15677644706,2559.15677644706,49451.1854355951,0.00260081856885556,159,159,1727.92955196732,4626.26750302463,0.000164508964427101,19483.5747275927
"8",2013,0,8,76.8146064642097,1910.80620117708,5881.40794430334,"no","no",3012.18801517302,2140.70578522517,11815.3703201657,5.33764662407158,1.70712663259512,3.25198750709824,0,0,2029,8,0,1569.07750283859,3886.58967847661,"no","no",2678.61399370159,1903.640955949,81984.9354239442,3.43474873124466,1.70712663259512,3.25198750709824,0,2029,56,2209,151,37,8,0,0,3,9410,5.74487965357175,120.249,215.897,0.556973927382039,0.556973927382039,0.00260066982959337,0.792452830188679,1.15523985338577,0.554373257552445,1,1.27609380396004,0.889258565603757,6.93883756516866,12.2968797452998,435.562060055999,3022.29438427881,-2586.73232422281,2586.73232422281,72453.4066836562,0.0024962380508659,164,164,1677.63798839784,4364.74473208039,0.000174656743385015,25498.1797488184
"9",2014,0,9,116.333725864295,1918.99065991095,5967.32323212437,"no","no",2988.92758321402,2023.02383857252,11979.0549062727,5.3964517635703,1.74872231686542,3.15346394094265,0,0,2029,9,2.31615392546138,1513.63798839784,3601.09601686887,"no","no",2639.62862208096,1786.60455256194,83215.6401214076,3.17137732252725,1.74872231686542,3.15346394094265,0,2029,57,2256,131,84,33,0,0,0,9130,5.88826953659207,123.183,254.387,0.484234650355561,0.484234650355561,0.00261004855345393,0.676646706586826,1.17827945733382,0.481624601802107,1,1.34217622327356,0.883135689504577,6.9467617247361,12.8216459497277,439.712732961923,3054.579583219,-2614.86685025707,2614.86685025707,82987.0031854801,0.00265795244741676,164,164,1624.29458938331,4085.30391818699,0.000177690207707748,26076.4635538124
"10",2015,0,10,89.3960966773628,1966.36552924424,6229.22972171923,"no","no",3104.42920987917,2001.14274845508,12173.3814713651,5.69115582531145,1.71473594548552,2.99082907438955,0,0,2029,10,4.42252599564638,1462.61074330877,3332.44012961822,"no","no",2494.76419647481,1608.14724490859,84486.6909454726,2.93718752646427,1.71473594548552,2.99082907438955,0,2029,58,2271,89,74,28,0,0,0,9331,5.96119901784433,NA,NA,NA,NA,NA,NA,NA,NA,1,1.44123004918972,0.803614457864194,6.94028123116053,21.8396848935345,436.080158083593,3026.51893642908,-2590.43877834548,2590.43877834548,94932.4494075622,0.00263480289963954,167,167,1578.18868841286,3842.92682027121,0.00018613843040316,26811.3220596499
