"","year","time.oa","launches.oa","satellites.oa","debris.oa","runaway.oa","kessler.oa","fleet_flowv.oa","fleet_pv.oa","fleet_vfn_path.oa","collision_rate.oa","returns.oa","costs.oa","time.opt","launches.opt","satellites.opt","debris.opt","runaway.opt","kessler.opt","fleet_flowv.opt","fleet_pv.opt","fleet_vfn_path.opt","collision_rate.opt","returns.opt","costs.opt","X","payloads_in_orbit","launch_successes","payloads_decayed","launch_failures","num_destr_asat","num_destr_satsat","num_destr_debsat","debris","risk.x","tot_rev","tot_cost","r_s","r_s_raw","risk.y","share_in_LEO","Ft_Ft","implied_r","bootstrap_draw","riskPoA","flowWelfPoA","NPVPoA","flow_welfare_loss","npv_welfare_loss","opt_tax_path"
"49",2006,1,64,1881,4019,"yes","no",1704.50028392959,1704.50028392959,13537.5698894365,5.08402918897316,1,2.75780806360023,1,0,1881,4019,"yes","no",1881,1881,67532.8369173357,5.08402918897316,1,2.75780806360023,49,1881,43,18,21,0,0,0,4019,4.1071734234289,70.44,161.019,0.196541752971631,0.437463901775567,4.1071734234289,0.449275362318841,1.20646016903435,0.19210731761644,1,1,1.10354924415941,4.98854945672577,-6.60959064327485,-2022.02371581352,0
"50",2007,2,65,1877.60509542338,4353.99278146504,"yes","no",1803.96775126243,1718.06452501184,14400.8863516917,5.15557526905395,1.04869392390687,2.53946621237933,2,0,1813.60509542338,4131.8041876686,"no","no",1901.91664393704,1811.34918470195,68837.8747890801,4.79161078945905,1.04869392390687,2.53946621237933,50,1918,59,22,6,1,0,0,6542,4.7396772164971,73.868,185.503,0.228755375981188,0.39820380263392,4.7396772164971,0.574468085106383,1.15205658959502,0.223126945346216,1,1.03928358939707,1.05429636566733,4.78011374494276,-3.67463851521143,-2042.25130986076,9887.97821520715
"51",2008,3,65,1875.25378722417,4697.05141466077,"no","no",2133.28078943309,1934.94856184407,17173.7296634931,5.23407481017502,1.21379897785349,2.1984667802385,3,0.295797946871929,1748.7315015418,4227.23560096905,"no","no",2121.95820715178,1924.67864594266,70182.4122597528,4.51464948976729,1.21379897785349,2.1984667802385,51,1957,59,20,6,1,0,0,6933,5.08921643427632,85.504,169.996,0.260364326911498,0.502976540624485,5.08921643427632,0.517647058823529,0.916405664598416,0.254328693797998,1,1.08113261698522,0.994692408829917,4.08661447658294,0.425309204188069,-1991.16067783426,17297.1914731519
"52",2009,4,77,1872.90468856125,4929.04489847555,"no","no",2330.62635317306,2013.28267199919,17886.1892520554,5.28328047085382,1.32112436115843,1.86641113003975,4,77,1686.57632416751,4204.05644636138,"no","no",2084.46341179767,1800.63786787403,71359.1250568328,4.22959581550406,1.32112436115843,1.86641113003975,52,2008,72,21,5,0,1,0,9175,5.76191251482962,93.055,137.815,0.399618091985189,0.675216776112905,5.76191251482962,0.591836734693878,0.810695545777548,0.392680559704867,1,1.12485131763036,0.894379062074774,3.98962149238314,9.25819540972078,-2011.11867629634,21978.4461164124
"53",2010,5,77,1882.58604689003,5011.83374041034,"no","no",2559.40303264916,2105.62720895031,17255.3002643513,5.35308985883622,1.44108461101647,1.99432140829074,5,0,1703.46549540753,4256.91204425436,"no","no",2454.83791082933,2019.60122445222,72121.3621675321,4.31723811564564,1.44108461101647,1.99432140829074,53,2033,60,35,6,0,0,0,9518,5.69780954361475,101.507,136.162,0.381618341877078,0.745486993434292,5.69780954361475,0.511904761904762,0.988005659761274,0.374836535842161,1,1.12195912896837,0.959144722231734,4.17966428069245,3.9124730543691,-2052.90239287842,23064.6377780873
"54",2011,6,77,1891.87833631299,5082.75619273493,"no","no",2760.25139301967,2162.72919246192,16758.4354503239,5.41824497091741,1.54514480408859,2.11655309483248,6,0,1642.70894072725,4048.08584032138,"no","no",2538.22318439458,1988.76428131005,73039.0210153972,4.00185265203292,1.54514480408859,2.11655309483248,54,2063,67,37,9,0,0,0,9662,5.77111052579584,108.839,166.985,0.352498177460642,0.651789082851753,5.77111052579584,0.540816326530612,1.2263700591942,0.345667395136873,1,1.17561456861009,0.919562323494677,4.35834366709845,8.26674036874407,-2095.48593644232,33714.4690651509
"55",2012,7,77,1900.7989799147,5145.03680796298,"no","no",2909.97150978462,2171.46554437521,17924.1252620213,5.47960844632605,1.62620670073822,2.35221465076661,7,0,1584.27539990224,3825.87045592963,"no","no",2576.35927113574,1922.51895538901,73923.126696375,3.70503730470905,1.62620670073822,2.35221465076661,55,2095,63,31,6,0,0,0,9427,5.66013796698894,114.545,186.885,0.315561245505721,0.612917034539958,5.66013796698894,0.514851485148515,1.11917238075276,0.309019182412182,1,1.23268306567334,0.885355496599495,4.12422506625792,12.3630359331745,-2075.21663401403,47433.6769266523
"56",2013,8,159,1909.36398806477,5200.90567747193,"no","no",2874.01206082891,2042.5067141999,16568.4757659385,5.53779234865896,1.70712663259512,2.42461669505963,8,0,1528.06975785955,3600.18380009594,"no","no",2608.60858010521,1853.88941549802,74830.9260777759,3.42772223438816,1.70712663259512,2.42461669505963,56,2209,151,37,8,0,0,3,9410,5.74487965357175,120.249,215.897,0.4413755650952,0.556973927382039,5.74487965357175,0.792452830188679,1.15523985338577,0.4346248890992,1,1.29296121864905,0.907654012889858,4.51646410538339,9.79122959217725,-2149.41049774665,58782.2608703181
"57",2014,9,164,1999.58824759538,5536.58831666427,"no","no",3099.34355960816,2097.75771759291,17792.7507425649,6.09823990404678,1.74872231686542,2.42305508233958,9,22.1242744537739,1473.99915962708,3377.40357091858,"no","no",2524.00688982246,1708.34721306344,75764.7356789582,3.16988702319985,1.74872231686542,2.42305508233958,57,2256,131,84,33,0,0,0,9130,5.88826953659207,123.183,254.387,0.327655781378313,0.484234650355561,5.88826953659207,0.676646706586826,1.17827945733382,0.320584852636483,1,1.41813436711563,0.814368217423937,4.25818001809632,20.2675301119821,-2042.19374855311,76754.6103004164
"58",2015,10,164,2091.27376485927,5921.16450884668,"no","no",3095.48632825514,1995.37808722355,18223.3552193763,6.70804009764783,1.71473594548552,2.99082907438955,10,4.10603339447397,1444.09812871923,3238.31781897225,"no","no",2463.96652606663,1588.29479196474,76839.1923929591,3.02838975042044,1.71473594548552,2.99082907438955,58,2271,89,74,28,0,0,0,9331,5.96119901784433,126.551,239.109,0.384916882714958,0.529260713733067,5.96119901784433,0.727272727272727,0.939941899546754,0.377825876512837,1,1.52957120187143,0.79598688696374,4.21652277903569,21.2713684901759,-1974.34675454125,111876.655387239
"59",2016,11,167,2179.32428903952,6330.61207162775,"no","no",3230.86856757832,1983.47303408458,18186.6708747593,7.33308484393552,1.71475014196479,3.0307069846678,11,10.81991591607,1397.30885384082,3046.44474274984,"no","no",2363.24356075186,1450.82654329042,78019.155188057,2.81842020474442,1.71475014196479,3.0307069846678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.66821306432934,0.731457659549183,4.28990856684701,28.0433278279071,-1933.90227247279,132029.121317548
"60",2017,12,180,2266.84582275338,6767.90187238237,"no","no",3305.65681988803,1932.74907941587,17730.2884528942,7.99135323956264,1.71475014196479,3.23009653605906,12,17.7352334839504,1358.99062042164,2886.46886945503,"no","no",2273.04284305413,1329.0010735399,79383.4389347477,2.65149723527518,1.71475014196479,3.23009653605906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.80685634752892,0.68762214800359,4.47727848002325,32.0874617047538,-1915.81089298204,158009.72075414
"61",2018,13,192,2363.82381699059,7264.08915803813,"no","no",3387.2493382005,1886.14717620721,17573.1140567731,8.75732831901102,1.71475014196479,3.46936399772856,13,24.0490867758326,1329.02187062975,2759.69052880559,"no","no",2195.50540549835,1222.53956159258,80924.1370000907,2.52415605773279,1.71475014196479,3.46936399772856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.95061901639049,0.648167638779355,4.60499697086417,35.5129862116426,-1887.80823006025,186657.1723629
"62",2019,14,205,2468.8400346147,7820.46227351361,"no","no",3694.5685794355,1959.3085990979,17920.1228685059,9.63251927639798,1.79449176604202,3.58899772856332,14,28.4477267756811,1306.48553470222,2663.33399555047,"no","no",2242.37870769544,1189.18130492329,82629.9497192577,2.43025339339073,1.79449176604202,3.58899772856332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.09749040545529,0.606939256771911,4.61101468586901,41.4333262306054,-1846.27604035039,209048.600422681
