"year","payloads","debris"
1957,2,0
1958,4,2
1959,5,8
1960,19,29
1961,38,326
1962,59,71
1963,92,196
1964,172,242
1965,269,1083
1966,660,746
1967,1108,1118
1968,1704,1945
1969,2424,2629
1970,4027,4551
1971,5842,5987
1972,7687,7853
1973,9820,10011
1974,12212,12425
1975,15241,15765
1976,18479,18766
1977,21979,22207
1978,25760,25851
1979,29831,29933
1980,34568,34531
1981,39727,40066
1982,45213,45452
1983,50830,51039
1984,56627,56581
1985,62467,62587
1986,68703,69363
1987,75276,75594
1988,82112,81725
1989,88989,88544
1990,96158,96074
1991,104076,104014
1992,112357,112553
1993,120346,122140
1994,127991,128773
1995,135538,135789
1996,143105,142983
1997,151002,151320
1998,160962,160543
1999,171501,175061
2000,182317,182503
2001,193077,193190
2002,204501,204171
2003,215639,215510
2004,230646,230556
2005,245867,245751
2006,261264,261924
2007,276376,276285
2008,291388,290746
2009,306365,306237
2010,321240,320956
2011,336833,336445
2012,352414,352143
2013,367511,367087
2014,382469,381955
2015,397204,396899
