"","year","time.oa","launches.oa","satellites.oa","debris.oa","runaway.oa","kessler.oa","fleet_flowv.oa","fleet_pv.oa","fleet_vfn_path.oa","collision_rate.oa","returns.oa","costs.oa","start_time.oa","R_frac.oa","R_start_year.oa","time.opt","launches.opt","satellites.opt","debris.opt","runaway.opt","kessler.opt","fleet_flowv.opt","fleet_pv.opt","fleet_vfn_path.opt","collision_rate.opt","returns.opt","costs.opt","start_time.opt","R_frac.opt","R_start_year.opt","X","payloads_in_orbit","launch_successes","payloads_decayed","launch_failures","num_destr_asat","num_destr_satsat","num_destr_debsat","debris","risk.x","tot_rev","tot_cost","r_s","r_s_raw","risk.y","share_in_LEO","Ft_Ft","implied_r"
"49",2006,1,64,1881,4019,"no","no",1704.50028392959,1704.50028392959,13432.7698249136,2.37676672612718,1,2.75780806360023,0,0,2029,1,0,1881,4019,"no","no",1881,1881,119424.506998275,2.37676672612718,1,2.75780806360023,0,0,2029,49,1881,43,18,21,0,0,0,4019,4.1071734234289,70.44,161.019,0.437463901775567,0.437463901775567,0.00218350527561345,0.449275362318841,1.20646016903435,0.435280396499953
"50",2006,1,64,1881,4019,"no","no",1704.50028392959,1704.50028392959,13432.7698249136,2.37676672612718,1,2.75780806360023,0,0,2029,1,0,2489.8391567039,4661.46558407785,"no","no",2489.8391567039,2489.8391567039,123031.426782529,4.14258127898509,1,2.75780806360023,-1,0,2029,49,1881,43,18,21,0,0,0,4019,4.1071734234289,70.44,161.019,0.437463901775567,0.437463901775567,0.00218350527561345,0.449275362318841,1.20646016903435,0.435280396499953
"51",2007,2,65,1880.22243280612,3469.6631264609,"no","no",1842.83902770284,1755.08478828842,15570.1677403828,2.36163205081922,1.04869392390687,1.98367404883589,0,0,2029,2,65,1816.22243280612,3189.34585849217,"no","no",1775.7226165728,1691.164396736,123262.831180951,2.19987406976728,1.04869392390687,1.98367404883589,0,0,2029,50,1918,59,22,6,1,0,0,6542,4.7396772164971,73.868,185.503,0.39820380263392,0.39820380263392,0.00247115600443019,0.574468085106383,1.15205658959502,0.395732646629489
"52",2007,2,65,1880.22243280612,3469.6631264609,"no","no",1842.83902770284,1755.08478828842,15570.1677403828,2.36163205081922,1.04869392390687,1.98367404883589,0,0,2029,2,65,2403.13108103562,4281.7084014051,"no","no",2391.21014985947,2277.34299986616,125760.616513031,3.85250775048947,1.04869392390687,1.98367404883589,-1,0,2029,50,1918,59,22,6,1,0,0,6542,4.7396772164971,73.868,185.503,0.39820380263392,0.39820380263392,0.00247115600443019,0.574468085106383,1.15205658959502,0.395732646629489
"53",2008,3,65,1880.48532542917,3591.05873949821,"no","no",2153.60158041162,1953.38011828718,16857.680520622,2.36520040674642,1.21379897785349,1.98353208404316,0,0,2029,3,65,2384.58356000819,4670.78730575421,"no","no",2765.47550228138,2508.36780252279,129280.678096337,3.80616309368475,1.21379897785349,1.98353208404316,-1,0,2029,51,1957,59,20,6,1,0,0,6933,5.08921643427632,85.504,169.996,0.502976540624485,0.502976540624485,0.00260051938389183,0.517647058823529,0.916405664598416,0.500376021240594
"54",2008,3,65,1880.48532542917,3591.05873949821,"no","no",2153.60158041162,1953.38011828718,16857.680520622,2.36520040674642,1.21379897785349,1.98353208404316,0,0,2029,3,65,1818.76754978788,3357.07432618378,"no","no",2078.68860742283,1885.43184346741,127203.128857047,2.20983995234589,1.21379897785349,1.98353208404316,0,0,2029,51,1957,59,20,6,1,0,0,6933,5.08921643427632,85.504,169.996,0.502976540624485,0.502976540624485,0.00260051938389183,0.517647058823529,0.916405664598416,0.500376021240594
"55",2009,4,77,1880.73603591917,3667.4797701997,"no","no",2364.00476295625,2042.1161973491,18281.3514399823,2.3676577043521,1.32112436115843,1.56729131175468,0,0,2029,4,77,1821.21849269934,3463.91886598882,"no","no",2285.37468669223,1974.19258109684,130458.783239469,2.21818156592404,1.32112436115843,1.56729131175468,0,0,2029,52,2008,72,21,5,0,1,0,9175,5.76191251482962,93.055,137.815,0.675216776112905,0.675216776112905,0.00286947834403866,0.591836734693878,0.810695545777548,0.672347297768866
"56",2009,4,77,1880.73603591917,3667.4797701997,"no","no",2364.00476295625,2042.1161973491,18281.3514399823,2.3676577043521,1.32112436115843,1.56729131175468,0,0,2029,4,77,2366.69692315495,4905.9017144805,"no","no",3006.0195296536,2596.71269163468,132008.764608028,3.75747491527848,1.32112436115843,1.56729131175468,-1,0,2029,52,2008,72,21,5,0,1,0,9175,5.76191251482962,93.055,137.815,0.675216776112905,0.675216776112905,0.00286947834403866,0.591836734693878,0.810695545777548,0.672347297768866
"57",2010,5,77,1892.97604307391,3305.76470870371,"no","no",2567.01913873414,2111.8929982747,16627.4216977584,2.38923054590348,1.44108461101647,2.08986371379898,0,0,2029,5,77,1835.57995996592,3122.86313026138,"no","no",2484.30652663459,2043.8451276039,132238.653669207,2.24464354845577,1.44108461101647,2.08986371379898,0,0,2029,53,2033,60,35,6,0,0,0,9518,5.69780954361475,101.507,136.162,0.745486993434292,0.745486993434292,0.00280266086749373,0.511904761904762,0.988005659761274,0.742684332566798
"58",2010,5,77,1892.97604307391,3305.76470870371,"no","no",2567.01913873414,2111.8929982747,16627.4216977584,2.38923054590348,1.44108461101647,2.08986371379898,0,0,2029,1,0,1892.97604307391,3305.76470870371,"no","no",1892.97604307391,1892.97604307391,119631.487163712,2.38923054590348,1.44108461101647,2.08986371379898,4,0,2029,53,2033,60,35,6,0,0,0,9518,5.69780954361475,101.507,136.162,0.745486993434292,0.745486993434292,0.00280266086749373,0.511904761904762,0.988005659761274,0.742684332566798
