"","year","time.oa","launches.oa","satellites.oa","debris.oa","runaway.oa","kessler.oa","fleet_flowv.oa","fleet_pv.oa","fleet_vfn_path.oa","collision_rate.oa","returns.oa","costs.oa","start_time.oa","R_frac.oa","R_start_year.oa","time.opt","launches.opt","satellites.opt","debris.opt","runaway.opt","kessler.opt","fleet_flowv.opt","fleet_pv.opt","fleet_vfn_path.opt","collision_rate.opt","returns.opt","costs.opt","start_time.opt","R_frac.opt","R_start_year.opt","X","payloads_in_orbit","launch_successes","payloads_decayed","launch_failures","num_destr_asat","num_destr_satsat","num_destr_debsat","debris","risk.x","tot_rev","tot_cost","r_s","r_s_raw","risk.y","share_in_LEO","Ft_Ft","implied_r"
"49",2006,1,64,1881,4019,"no","no",1704.50028392959,1704.50028392959,83377.1734617523,0.0968097039958685,1,2.75780806360023,0,0,2029,1,0,1881,4019,"no","no",1881,1881,129428.511188124,0.0968097039958685,1,2.75780806360023,0,0,2029,49,1881,43,18,21,0,0,0,4019,4.1071734234289,70.44,161.019,0.437463901775567,0.437463901775567,0.00218350527561345,0.449275362318841,1.20646016903435,0.435280396499953
"50",2006,1,64,1881,4019,"no","no",1704.50028392959,1704.50028392959,83377.1734617523,0.0968097039958685,1,2.75780806360023,0,0,2029,1,0,3050.61420176544,2114.72896779143,"no","no",3050.61420176544,3050.61420176544,133548.636626077,0.082615091466919,1,2.75780806360023,-1,0,2029,49,1881,43,18,21,0,0,0,4019,4.1071734234289,70.44,161.019,0.437463901775567,0.437463901775567,0.00218350527561345,0.449275362318841,1.20646016903435,0.435280396499953
"51",2007,2,65,1882.42665822827,2883.43994222071,"no","no",1845.15058550997,1757.28627191426,122774.448859061,0.0695095093504302,1.04869392390687,1.98367404883589,0,0,2029,2,0,1818.42665822827,2581.31703511564,"no","no",1906.97298755426,1816.16475005168,133985.584651242,0.0601108993162532,1.04869392390687,1.98367404883589,0,0,2029,50,1918,59,22,6,1,0,0,6542,4.7396772164971,73.868,185.503,0.39820380263392,0.39820380263392,0.00247115600443019,0.574468085106383,1.15205658959502,0.395732646629489
"52",2007,2,65,1882.42665822827,2883.43994222071,"no","no",1845.15058550997,1757.28627191426,122774.448859061,0.0695095093504302,1.04869392390687,1.98367404883589,0,0,2029,2,0,2949.20439690592,1515.15589392634,"no","no",3092.81273139466,2945.53593466158,137138.391608275,0.0572243997052969,1.04869392390687,1.98367404883589,-1,0,2029,50,1918,59,22,6,1,0,0,6542,4.7396772164971,73.868,185.503,0.39820380263392,0.39820380263392,0.00247115600443019,0.574468085106383,1.15205658959502,0.395732646629489
"53",2008,3,65,1884.83232161904,2303.00511638417,"no","no",2158.87795994361,1958.16595006223,134755.117458872,0.0555884399127559,1.21379897785349,1.98353208404316,0,0,2029,3,65,2851.18759178661,1219.75578034649,"no","no",3331.83899911634,3022.07618967469,140701.587056025,0.0445367530818924,1.21379897785349,1.98353208404316,-1,0,2029,51,1957,59,20,6,1,0,0,6933,5.08921643427632,85.504,169.996,0.502976540624485,0.502976540624485,0.00260051938389183,0.517647058823529,0.916405664598416,0.500376021240594
"54",2008,3,65,1884.83232161904,2303.00511638417,"no","no",2158.87795994361,1958.16595006223,134755.117458872,0.0555884399127559,1.21379897785349,1.98353208404316,0,0,2029,3,65,1757.96724741218,1791.60734497102,"no","no",2004.88926254602,1818.49366217326,138783.1105346,0.0403340561199808,1.21379897785349,1.98353208404316,0,0,2029,51,1957,59,20,6,1,0,0,6933,5.08921643427632,85.504,169.996,0.502976540624485,0.502976540624485,0.00260051938389183,0.517647058823529,0.916405664598416,0.500376021240594
"55",2009,4,77,1887.17153658075,1930.50379211912,"no","no",2372.50685965651,2049.46062814514,157354.76344562,0.046655187050331,1.32112436115843,1.56729131175468,0,0,2029,4,0.000539681226776167,1764.53519083592,1587.50078706893,"no","no",2331.16958089697,2013.75193253167,140623.967301258,0.0358726223462063,1.32112436115843,1.56729131175468,0,0,2029,52,2008,72,21,5,0,1,0,9175,5.76191251482962,93.055,137.815,0.675216776112905,0.675216776112905,0.00286947834403866,0.591836734693878,0.810695545777548,0.672347297768866
"56",2009,4,77,1887.17153658075,1930.50379211912,"no","no",2372.50685965651,2049.46062814514,157354.76344562,0.046655187050331,1.32112436115843,1.56729131175468,0,0,2029,4,0.0031891640053372,2821.43880261559,1309.26794705347,"no","no",3727.46653730409,3219.9257421912,144415.873456962,0.0473062798264384,1.32112436115843,1.56729131175468,-1,0,2029,52,2008,72,21,5,0,1,0,9175,5.76191251482962,93.055,137.815,0.675216776112905,0.675216776112905,0.00286947834403866,0.591836734693878,0.810695545777548,0.672347297768866
"57",2010,5,77,1901.44168814033,1604.17146914938,"no","no",2579.21884956168,2121.92973056426,124985.1663119,0.0390618317493289,1.44108461101647,2.08986371379898,0,0,2029,5,77,1705.88982479654,1007.89410376366,"no","no",2297.41206864135,1890.08659448797,145208.20903737,0.0220184299159731,1.44108461101647,2.08986371379898,0,0,2029,53,2033,60,35,6,0,0,0,9518,5.69780954361475,101.507,136.162,0.745486993434292,0.745486993434292,0.00280266086749373,0.511904761904762,0.988005659761274,0.742684332566798
"58",2010,5,77,1901.44168814033,1604.17146914938,"no","no",2579.21884956168,2121.92973056426,124985.1663119,0.0390618317493289,1.44108461101647,2.08986371379898,0,0,2029,1,0,1901.44168814033,1604.17146914938,"no","no",1901.44168814033,1901.44168814033,129502.068326611,0.0390618317493289,1.44108461101647,2.08986371379898,4,0,2029,53,2033,60,35,6,0,0,0,9518,5.69780954361475,101.507,136.162,0.745486993434292,0.745486993434292,0.00280266086749373,0.511904761904762,0.988005659761274,0.742684332566798
