"","year","time.oa","launches.oa","satellites.oa","debris.oa","runaway.oa","kessler.oa","fleet_flowv.oa","fleet_pv.oa","fleet_vfn_path.oa","collision_rate.oa","returns.oa","costs.oa","start_time.oa","R_frac.oa","R_start_year.oa","time.opt","launches.opt","satellites.opt","debris.opt","runaway.opt","kessler.opt","fleet_flowv.opt","fleet_pv.opt","fleet_vfn_path.opt","collision_rate.opt","returns.opt","costs.opt","start_time.opt","R_frac.opt","R_start_year.opt","X","payloads_in_orbit","launch_successes","payloads_decayed","launch_failures","num_destr_asat","num_destr_satsat","num_destr_debsat","debris","risk.x","tot_rev","tot_cost","r_s","r_s_raw","risk.y","share_in_LEO","Ft_Ft","implied_r"
"49",2006,1,64,1881,4019,"yes","no",1704.50028392959,1704.50028392959,9535.81699920773,4.75053025179178,1,2.75780806360023,0,0,2029,1,0,1881,4019,"yes","no",1881,1881,18082.1338597767,4.75053025179178,1,2.75780806360023,0,0,2029,49,1881,43,18,21,0,0,0,4019,4.1071734234289,70.44,161.019,0.437463901775567,0.437463901775567,0.00218350527561345,0.449275362318841,1.20646016903435,0.435280396499953
"50",2006,1,64,1881,4019,"yes","no",1704.50028392959,1704.50028392959,9535.81699920773,4.75053025179178,1,2.75780806360023,0,0,2029,1,0,1283.65382375661,2610.37954629616,"no","no",1283.65382375661,1283.65382375661,13350.7433043892,2.2089286438089,1,2.75780806360023,-1,0,2029,49,1881,43,18,21,0,0,0,4019,4.1071734234289,70.44,161.019,0.437463901775567,0.437463901775567,0.00218350527561345,0.449275362318841,1.20646016903435,0.435280396499953
"51",2007,2,65,1877.92751677978,4669.65582655104,"yes","no",1840.43236321014,1586.57962345702,9783.29230452974,4.76656477126406,1.04869392390687,1.98367404883589,0,0,2029,2,0,1813.92751677978,4367.53291944597,"yes","no",1902.25476525443,1639.87479763313,18969.27053191,4.4407767069235,1.04869392390687,1.98367404883589,0,0,2029,50,1918,59,22,6,1,0,0,6542,4.7396772164971,73.868,185.503,0.39820380263392,0.39820380263392,0.00247115600443019,0.574468085106383,1.15205658959502,0.395732646629489
"52",2007,2,65,1877.92751677978,4669.65582655104,"yes","no",1840.43236321014,1586.57962345702,9783.29230452974,4.76656477126406,1.04869392390687,1.98367404883589,0,0,2029,2,65,1238.88011373777,2399.00513060609,"no","no",1170.26723455152,1008.85106426855,13996.6858463967,2.05377175472716,1.04869392390687,1.98367404883589,-1,0,2029,50,1918,59,22,6,1,0,0,6542,4.7396772164971,73.868,185.503,0.39820380263392,0.39820380263392,0.00247115600443019,0.574468085106383,1.15205658959502,0.395732646629489
"53",2008,3,65,1875.94158798703,5307.74876224718,"yes","no",2148.08639654871,1596.37811871932,10402.5978839163,4.78731267645262,1.21379897785349,1.98353208404316,0,0,2029,3,49.9288964936532,1260.74362118391,2649.47454754929,"no","no",1431.25375061231,1063.65468981295,14799.8767354059,2.13357878554131,1.21379897785349,1.98353208404316,-1,0,2029,51,1957,59,20,6,1,0,0,6933,5.08921643427632,85.504,169.996,0.502976540624485,0.502976540624485,0.00260051938389183,0.517647058823529,0.916405664598416,0.500376021240594
"54",2008,3,65,1875.94158798703,5307.74876224718,"yes","no",2148.08639654871,1596.37811871932,10402.5978839163,4.78731267645262,1.21379897785349,1.98353208404316,0,0,2029,3,0,1749.38239396639,4648.25877588705,"no","no",2123.3985616713,1578.03103572481,20171.5455617375,4.15004182424466,1.21379897785349,1.98353208404316,0,0,2029,51,1957,59,20,6,1,0,0,6933,5.08921643427632,85.504,169.996,0.502976540624485,0.502976540624485,0.00260051938389183,0.517647058823529,0.916405664598416,0.500376021240594
"55",2009,4,77,1874.0015655442,5789.36944248134,"no","no",2355.10769008438,1508.8178136688,10796.1604709981,4.80074296576312,1.32112436115843,1.56729131175468,0,0,2029,4,77,1687.26229521588,4736.70655715963,"no","no",2108.40189086868,1350.76385029411,21390.5791817386,3.87163398179203,1.32112436115843,1.56729131175468,0,0,2029,52,2008,72,21,5,0,1,0,9175,5.76191251482962,93.055,137.815,0.675216776112905,0.675216776112905,0.00286947834403866,0.591836734693878,0.810695545777548,0.672347297768866
"56",2009,4,77,1874.0015655442,5789.36944248134,"no","no",2355.10769008438,1508.8178136688,10796.1604709981,4.80074296576312,1.32112436115843,1.56729131175468,0,0,2029,4,20.5268436179671,1266.73264546854,2776.2126858089,"no","no",1641.33981334297,1051.5369463071,15269.21699452,2.1575862142973,1.32112436115843,1.56729131175468,-1,0,2029,52,2008,72,21,5,0,1,0,9175,5.76191251482962,93.055,137.815,0.675216776112905,0.675216776112905,0.00286947834403866,0.591836734693878,0.810695545777548,0.672347297768866
"57",2010,5,77,1884.11299916714,6064.46219885054,"no","no",2554.24674255332,1410.6877377024,10620.6506862587,4.8643926857947,1.44108461101647,2.08986371379898,0,0,2029,5,0.418535062742736,1704.4747527643,4906.01767654853,"no","no",2455.41765483416,1356.10531234346,18793.3722071888,3.95625257236333,1.44108461101647,2.08986371379898,0,0,2029,53,2033,60,35,6,0,0,0,9518,5.69780954361475,101.507,136.162,0.745486993434292,0.745486993434292,0.00280266086749373,0.511904761904762,0.988005659761274,0.742684332566798
"58",2010,5,77,1884.11299916714,6064.46219885054,"no","no",2554.24674255332,1410.6877377024,10620.6506862587,4.8643926857947,1.44108461101647,2.08986371379898,0,0,2029,1,0,1884.11299916714,6064.46219885054,"no","no",1884.11299916714,1884.11299916714,17815.8161328079,4.8643926857947,1.44108461101647,2.08986371379898,4,0,2029,53,2033,60,35,6,0,0,0,9518,5.69780954361475,101.507,136.162,0.745486993434292,0.745486993434292,0.00280266086749373,0.511904761904762,0.988005659761274,0.742684332566798
"59",2010,5,77,1884.11299916714,6064.46219885054,"no","no",2554.24674255332,1410.6877377024,10620.6506862587,4.8643926857947,1.44108461101647,2.08986371379898,0,0,2029,5,70.6524214249101,1243.09747401635,2587.73793838672,"no","no",1643.75470797045,907.831092311198,15747.9536762784,2.07351195666594,1.44108461101647,2.08986371379898,-1,0,2029,53,2033,60,35,6,0,0,0,9518,5.69780954361475,101.507,136.162,0.745486993434292,0.745486993434292,0.00280266086749373,0.511904761904762,0.988005659761274,0.742684332566798
"60",2011,6,77,1893.82703346694,6295.52604715437,"no","no",2760.08140719111,1314.11068156644,10811.1035057042,4.92431466774006,1.54514480408859,2.15786484951732,0,0,2029,6,49.9594391706408,1270.45423352894,2665.84402985922,"no","no",1855.23004008166,883.299168670291,16391.9181390827,2.16642695949743,1.54514480408859,2.15786484951732,-1,0,2029,54,2063,67,37,9,0,0,0,9662,5.77111052579584,108.839,166.985,0.651789082851753,0.651789082851753,0.00279743602801543,0.540816326530612,1.2263700591942,0.648991646823738
"61",2011,6,77,1893.82703346694,6295.52604715437,"no","no",2760.08140719111,1314.11068156644,10811.1035057042,4.92431466774006,1.54514480408859,2.15786484951732,0,0,2029,2,0.148526386957474,1816.82703346694,5932.03442454359,"no","no",1905.00084284715,1642.24210590272,18650.3191071541,4.52727415523713,1.54514480408859,2.15786484951732,4,0,2029,54,2063,67,37,9,0,0,0,9662,5.77111052579584,108.839,166.985,0.651789082851753,0.651789082851753,0.00279743602801543,0.540816326530612,1.2263700591942,0.648991646823738
"62",2011,6,77,1893.82703346694,6295.52604715437,"no","no",2760.08140719111,1314.11068156644,10811.1035057042,4.92431466774006,1.54514480408859,2.15786484951732,0,0,2029,6,27.4768357484261,1644.45220437282,4701.54898731258,"no","no",2481.6254811212,1181.53419094533,18942.1662975125,3.68134045701222,1.54514480408859,2.15786484951732,0,0,2029,54,2063,67,37,9,0,0,0,9662,5.77111052579584,108.839,166.985,0.651789082851753,0.651789082851753,0.00279743602801543,0.540816326530612,1.2263700591942,0.648991646823738
"63",2012,7,77,1903.16047247162,6492.89249356428,"no","no",2884.35196084077,1183.85992206187,10899.8263481153,4.98102686439131,1.62620670073822,2.73480976717774,0,0,2029,3,0,1752.25050166961,5689.27892726683,"no","no",2126.87986786985,1580.61821333966,19880.9280611986,4.20992062491088,1.62620670073822,2.73480976717774,4,0,2029,55,2095,63,31,6,0,0,0,9427,5.66013796698894,114.545,186.885,0.612917034539958,0.612917034539958,0.00270173649975606,0.514851485148515,1.11917238075276,0.610215298040202
