"","year","time.oa","launches.oa","satellites.oa","debris.oa","runaway.oa","kessler.oa","fleet_flowv.oa","fleet_pv.oa","fleet_vfn_path.oa","collision_rate.oa","returns.oa","costs.oa","start_time.oa","R_frac.oa","R_start_year.oa","time.opt","launches.opt","satellites.opt","debris.opt","runaway.opt","kessler.opt","fleet_flowv.opt","fleet_pv.opt","fleet_vfn_path.opt","collision_rate.opt","returns.opt","costs.opt","start_time.opt","R_frac.opt","R_start_year.opt","X","payloads_in_orbit","launch_successes","payloads_decayed","launch_failures","num_destr_asat","num_destr_satsat","num_destr_debsat","debris","risk.x","tot_rev","tot_cost","r_s","r_s_raw","risk.y","share_in_LEO","Ft_Ft","implied_r"
"49",2006,1,15.400220858736,1431,4019,"no","no",1388.52914673455,1388.52914673455,9935.81198789775,2.78544014770515,1,2.75780806360023,0,0,2029,1,0,1431,4019,"no","no",1431,1431,24863.0325062133,2.78544014770515,1,2.75780806360023,0,0,2029,49,1881,43,18,21,0,0,0,4019,4.1071734234289,70.44,161.019,0.437463901775567,0.437463901775567,0.00218350527561345,0.449275362318841,1.20646016903435,0.435280396499953
"50",2006,1,15.400220858736,1431,4019,"no","no",1388.52914673455,1388.52914673455,9935.81198789775,2.78544014770515,1,2.75780806360023,0,0,2029,1,0,4775.94173319265,8548359.19384211,"yes","no",4775.94173319265,4775.94173319265,-2731657.64802583,962.674043878193,1,2.75780806360023,-1,0,2029,49,1881,43,18,21,0,0,0,4019,4.1071734234289,70.44,161.019,0.437463901775567,0.437463901775567,0.00218350527561345,0.449275362318841,1.20646016903435,0.435280396499953
"51",2007,2,0,1846.17486290528,3622.16029109262,"yes","no",1936.07236119837,1843.87843923654,12230.2908709756,4.56115299763868,1.04869392390687,1.98367404883589,0,0,2029,2,7.9550872422729e-07,1830.77464204654,3554.70798113581,"yes","no",1919.92224157896,1828.49737293234,24743.105268843,4.48367936219622,1.04869392390687,1.98367404883589,0,0,2029,50,1918,59,22,6,1,0,0,6542,4.7396772164971,73.868,185.503,0.39820380263392,0.39820380263392,0.00247115600443019,0.574468085106383,1.15205658959502,0.395732646629489
"52",2007,2,0,1846.17486290528,3622.16029109262,"yes","no",1936.07236119837,1843.87843923654,12230.2908709756,4.56115299763868,1.04869392390687,1.98367404883589,0,0,2029,2,65,4136.60527399003,9155906.34067807,"no","no",4209.09400326013,4008.66095548583,-2394894.23652316,882.119003885399,1.04869392390687,1.98367404883589,-1,0,2029,50,1918,59,22,6,1,0,0,6542,4.7396772164971,73.868,185.503,0.39820380263392,0.39820380263392,0.00247115600443019,0.574468085106383,1.15205658959502,0.395732646629489
"53",2008,3,0,2230.44222665585,4453.88523513791,"yes","no",2707.30849487614,2455.60861213255,14727.8046908832,6.66021459203999,1.21379897785349,1.98353208404316,0,0,2029,3,65,3661.38447259202,9076361.30586943,"no","no",4315.25514489803,3914.06362349028,-3382041.21059996,773.135216604271,1.21379897785349,1.98353208404316,-1,0,2029,51,1957,59,20,6,1,0,0,6933,5.08921643427632,85.504,169.996,0.502976540624485,0.502976540624485,0.00260051938389183,0.517647058823529,0.916405664598416,0.500376021240594
"54",2008,3,0,2230.44222665585,4453.88523513791,"yes","no",2707.30849487614,2455.60861213255,14727.8046908832,6.66021459203999,1.21379897785349,1.98353208404316,0,0,2029,3,8.74449470167349e-05,2215.62844427959,4374.91639995418,"yes","no",2689.32736751984,2439.29919956448,24088.7980170806,6.56930985095576,1.21379897785349,1.98353208404316,0,0,2029,51,1957,59,20,6,1,0,0,6933,5.08921643427632,85.504,169.996,0.502976540624485,0.502976540624485,0.00260051938389183,0.517647058823529,0.916405664598416,0.500376021240594
"55",2009,4,0.371059665411963,2599.9163347099,5891.60159939184,"yes","no",3434.23124816924,2966.61807422027,17095.14611216,9.09371484701515,1.32112436115843,1.56729131175468,0,0,2029,4,5.18949925449874e-05,2585.6825831589,5795.21766764025,"yes","no",3416.00816949971,2950.87629370453,22581.9182118693,8.99027072530356,1.32112436115843,1.56729131175468,0,0,2029,52,2008,72,21,5,0,1,0,9175,5.76191251482962,93.055,137.815,0.675216776112905,0.675216776112905,0.00286947834403866,0.591836734693878,0.810695545777548,0.672347297768866
"56",2009,4,0.371059665411963,2599.9163347099,5891.60159939184,"yes","no",3434.23124816924,2966.61807422027,17095.14611216,9.09371484701515,1.32112436115843,1.56729131175468,0,0,2029,4,77,3307.31247508786,8491913.3109305,"no","no",4248.68964979665,3670.17786398588,-2886067.81328656,657.812492237071,1.32112436115843,1.56729131175468,-1,0,2029,52,2008,72,21,5,0,1,0,9175,5.76191251482962,93.055,137.815,0.675216776112905,0.675216776112905,0.00286947834403866,0.591836734693878,0.810695545777548,0.672347297768866
"57",2010,5,0.0234270077484098,2955.13629320093,7537.68177685209,"yes","no",4258.55247633469,3503.52166131164,19485.6070261096,11.8089700155052,1.44108461101647,2.08986371379898,0,0,2029,5,1.96451371436979e-05,2941.10433368618,7415.75237133676,"yes","no",4238.38015361334,3486.92584148649,20313.8610191505,11.6907387273065,1.44108461101647,2.08986371379898,0,0,2029,53,2033,60,35,6,0,0,0,9518,5.69780954361475,101.507,136.162,0.745486993434292,0.745486993434292,0.00280266086749373,0.511904761904762,0.988005659761274,0.742684332566798
"58",2010,5,0.0234270077484098,2955.13629320093,7537.68177685209,"yes","no",4258.55247633469,3503.52166131164,19485.6070261096,11.8089700155052,1.44108461101647,2.08986371379898,0,0,2029,1,0,2955.13629320093,7537.68177685209,"yes","no",2955.13629320093,2955.13629320093,13996.3478096514,11.8089700155052,1.44108461101647,2.08986371379898,4,0,2029,53,2033,60,35,6,0,0,0,9518,5.69780954361475,101.507,136.162,0.745486993434292,0.745486993434292,0.00280266086749373,0.511904761904762,0.988005659761274,0.742684332566798
