Category,Commercial Infrastructure and Support Industries,Ground Stations and Equipment,Satellite Manufacturing (Commercial),Satellite Launch Industry (Commercial),Insurance Premiums,Independent Research and Development (IR&D),Suborbital Commercial Human Spaceflight (Deposits),Orbital Commercial Human Spaceflight,Commercial Space Products and Services,Direct-to-Home Television,Satellite Communications,Satellite Radio,Earth Observation,U.S. Government Space Budgets,Department of Defense (DoD),National Aeronautics and Space Administration (NASA),National Oceanic and Atmospheric Administration (NOAA),National Science Foundation (NSF),United States Geological Survey (USGS),Department of the Interior (DOI),Department of Energy (DOE),United States Department of Agriculture (USDA),Federal Aviation Administration (FAA),Federal Communications Commission (FCC),Department of State,Non-U.S. Government Space Budgets**,European Space Agency (ESA),China,Russia,Japan,France†,India,South Korea,Italy†,Germany†,EUMETSAT†,Canada†,Spain†,United Kingdom†,European Union†,Brazil,Israel,Additional Countries,Non-U.S. Military Space***,Total
2005,67.264,62.7,2.3,1.2,0.775,0.259,0.01,0.02,58.41,46,11.6,0.81,0,37.25,19.69,16.198,0.807,0.36,0,0.07,0.03,0.073,0.012,0.01,0,13.733,3.7,0.5,0.7,2.5,1.078,0.7,0.213,0.4,0.3,0,0.3,0,0.12,0,0,0,0,3.222,176.657
2006,81.079,75.62,2.92,1.4,0.8,0.309,0.01,0.02,70.44,55.05,13.8,1.59,0,40.189,22.114,16.623,0.86,0.364,0,0.082,0.04,0.084,0.012,0.01,0,15.143,3.52,1.5,0.87,2.15,1.191,0.82,0.335,0.33,0.36,0,0.33,0,0.13,0,0,0,0,3.607,206.851
2007,93.283,86.87,3.8,1.55,0.65,0.373,0.01,0.03,73.868,55.4,15.1,2.1,1.268,40.223,22.418,16.285,0.912,0.404,0,0.087,0.03,0.065,0.012,0.01,0,17.21,4.02,1.5,1.32,2.21,1.242,0.66,0.377,0.65,0.39,0,0.34,0,0.12,0,0,0,0,4.381,224.584
2008,85.566,77.23,5.2,2,0.75,0.346,0.01,0.03,85.504,64.9,16.7,2.5,1.404,43.516,24.795,17.117,0.862,0.479,0.061,0.09,0.03,0.059,0.013,0.01,0,20.553,4.27,1.7,1.5,3.5,1.402,0.82,0.347,0.44,0.6,0,0.27,0,0.09,0,0.13,0.01,0.001,5.473,235.139
2009,69.515,61.86,4.03,2.41,0.8,0.326,0.01,0.08,93.055,71.82,17.07,2.54,1.625,46.153,26.528,17.775,1.078,0.485,0.132,0.064,0.04,0.027,0.014,0.01,0,25.772,5.16,1.79,2.9,3.72,1.315,1.06,0.255,0.47,0.77,0.23,0.3,0.06,0.1,0.945,0.19,0.01,0.052,6.445,234.495
2010,68.589,61.713,3.41,2.45,0.7,0.306,0.01,0,101.507,79.12,17.67,2.817,1.9,47.228,26.463,18.725,1.261,0.484,0.134,0.067,0.04,0.027,0.015,0.01,0.002,26.617,4.6,2.25,3.04,3.83,1.147,1.05,0.299,0.44,0.64,0.25,0.32,0.05,0.1,0.706,0.18,0.01,0.76,6.945,243.941
2011,84.009,76.806,4.24,1.93,0.75,0.274,0.01,0,108.839,84.41,19.322,3.015,2.092,47.826,27.234,18.448,1.444,0.412,0.128,0.066,0.047,0.02,0.015,0.01,0.002,30.241,5.799,3.08,4.125,3.324,1.378,0.997,0.257,0.63,0.788,0.357,0.424,0.06,0.095,0.252,0.222,0.015,0.48,7.958,270.915
2012,94.088,84.117,6.18,2.5,0.982,0.299,0.01,0,114.545,88.4,20.558,3.402,2.185,47.041,26.677,17.77,1.876,0.406,0.135,0.076,0.065,0.007,0.016,0.01,0.003,30,5.091,3.09,4.327,3.373,1.104,0.88,0.259,0.317,0.743,0.325,0.315,0.041,0.045,0.256,0.184,0.013,0.905,8.732,285.674
2013,108.476,101.252,4.36,1.809,0.791,0.254,0.01,0,120.249,92.6,21.55,3.799,2.3,41.749,22.29,16.865,1.865,0.409,0.127,0.084,0.061,0.02,0.015,0.01,0.003,32.065,5.571,3.159,5.032,2.565,1.151,1.141,0.343,0.307,0.571,0.262,0.393,0.028,0.087,0.295,0.157,0.049,0.621,10.333,302.539
2014,127.649,119.602,4.75,2.386,0.68,0.221,0.01,0,123.183,95,21.702,4.181,2.3,42.956,22.483,17.647,2.087,0.461,0.128,0.082,0.02,0.019,0.016,0.01,0.003,36.406,5.615,4.282,4.88,3.042,1.278,1.205,0.504,0.387,0.617,0.251,0.433,0.031,0.129,0.175,0.153,0.052,0.53,12.842,330.194
2015,119.923,110.523,6.05,2.613,0.727,,0.01,0,126.551,97.8,21.713,4.57,2.468,44.667,23.527,18,2.223,0.478,0.126,0.083,0.182,0.019,0.017,0.01,0.002,31.306,4.944,4.21,2.992,2.656,1.373,0.912,0.553,0.541,0.519,0.453,0.366,0.154,0.134,0.116,0.104,0.048,0.652,10.579,322.447
