year,time.oa,launches.oa,satellites.oa,debris.oa,runaway.oa,kessler.oa,fleet_flowv.oa,fleet_pv.oa,fleet_vfn_path.oa,collision_rate.oa,returns.oa,costs.oa,start_time.oa,R_frac.oa,R_start_year.oa,time.opt,launches.opt,satellites.opt,debris.opt,runaway.opt,kessler.opt,fleet_flowv.opt,fleet_pv.opt,fleet_vfn_path.opt,collision_rate.opt,returns.opt,costs.opt,start_time.opt,R_frac.opt,R_start_year.opt,X,payloads_in_orbit,launch_successes,payloads_decayed,launch_failures,num_destr_asat,num_destr_satsat,num_destr_debsat,debris,risk.x,tot_rev,tot_cost,r_s,r_s_raw,risk.y,share_in_LEO,Ft_Ft,implied_r
2006,1,64,1881,4019,yes,no,1704.50028392959,1704.50028392959,13326.7547977103,5.00911834336721,1,2.75780806360023,0,0.25,2030,1,0,1881,4019,yes,no,1881,1881,67310.2043530676,5.00911834336721,1,2.75780806360023,0,0.25,2030,49,1881,43,18,21,0,0,0,4019,4.1071734234289,70.44,161.019,0.196541752971631,0.437463901775567,4.1071734234289,0.449275362318841,1.20646016903435,0.19210731761644
2006,1,64,1881,4019,yes,no,1704.50028392959,1704.50028392959,13326.7547977103,5.00911834336721,1,2.75780806360023,0,0.25,2030,1,0,1199.23818447324,1560.35694769948,yes,no,1199.23818447324,1199.23818447324,57276.1977505363,1.89555457019837,1,2.75780806360023,-1,0.25,2030,49,1881,43,18,21,0,0,0,4019,4.1071734234289,70.44,161.019,0.196541752971631,0.437463901775567,4.1071734234289,0.449275362318841,1.20646016903435,0.19210731761644
2007,2,65,1877.67751801235,4870.70082370429,yes,no,1804.04370039143,1718.13685751565,14081.3304937402,5.18115059566042,1.04869392390687,2.53946621237933,0,0.25,2030,2,37.7660934757882,1157.57140956638,1632.44950202241,yes,no,1118.03238534525,1064.79274794785,58850.3701239397,1.78339190643955,1.04869392390687,2.53946621237933,-1,0.25,2030,50,1918,59,22,6,1,0,0,6542,4.7396772164971,73.868,185.503,0.228755375981188,0.39820380263392,4.7396772164971,0.574468085106383,1.15205658959502,0.223126945346216
2007,2,65,1877.67751801235,4870.70082370429,yes,no,1804.04370039143,1718.13685751565,14081.3304937402,5.18115059566042,1.04869392390687,2.53946621237933,0,0.25,2030,2,0,1813.67751801235,4562.56813688796,yes,no,1901.99259306605,1811.42151720576,68624.6353479209,4.80387816284353,1.04869392390687,2.53946621237933,0,0.25,2030,50,1918,59,22,6,1,0,0,6542,4.7396772164971,73.868,185.503,0.228755375981188,0.39820380263392,4.7396772164971,0.574468085106383,1.15205658959502,0.223126945346216
2008,3,65,1875.29907839661,5696.9732215259,yes,no,2133.3357638119,1934.99842522622,16626.2604022922,5.35166982814783,1.21379897785349,2.1984667802385,0,0.25,2030,3,35.2233821001577,1155.16317877866,1961.41016598052,no,no,1324.69845022069,1201.54054441786,60625.5562609006,1.82119938937957,1.21379897785349,2.1984667802385,-1,0.25,2030,51,1957,59,20,6,1,0,0,6933,5.08921643427632,85.504,169.996,0.260364326911498,0.502976540624485,5.08921643427632,0.517647058823529,0.916405664598416,0.254328693797998
2008,3,65,1875.29907839661,5696.9732215259,yes,no,2133.3357638119,1934.99842522622,16626.2604022922,5.35166982814783,1.21379897785349,2.1984667802385,0,0.25,2030,3,0,1748.7896586273,5002.76236966055,yes,no,2122.67910012257,1925.33251711798,69777.8225229969,4.59065962357364,1.21379897785349,2.1984667802385,0,0.25,2030,51,1957,59,20,6,1,0,0,6933,5.08921643427632,85.504,169.996,0.260364326911498,0.502976540624485,5.08921643427632,0.517647058823529,0.916405664598416,0.254328693797998
2009,4,77,1872.83478637762,6355.11457385801,yes,no,2330.53400369537,2013.20289704815,17224.8704892443,5.48424895800222,1.32112436115843,1.86641113003975,0,0.25,2030,4,32.8124043079561,1150.25567732699,2174.16612904726,no,no,1458.38936027375,1259.81156270273,62306.2080819768,1.83571489674069,1.32112436115843,1.86641113003975,-1,0.25,2030,52,2008,72,21,5,0,1,0,9175,5.76191251482962,93.055,137.815,0.399618091985189,0.675216776112905,5.76191251482962,0.591836734693878,0.810695545777548,0.392680559704867
2009,4,77,1872.83478637762,6355.11457385801,yes,no,2330.53400369537,2013.20289704815,17224.8704892443,5.48424895800222,1.32112436115843,1.86641113003975,0,0.25,2030,4,77,1686.26326618346,5215.0671338918,no,no,2084.0498232685,1800.28059455221,70625.4341762717,4.34606891710592,1.32112436115843,1.86641113003975,0,0.25,2030,52,2008,72,21,5,0,1,0,9175,5.76191251482962,93.055,137.815,0.399618091985189,0.675216776112905,5.76191251482962,0.591836734693878,0.810695545777548,0.392680559704867
2010,5,77,1882.3241735245,6791.12480785178,yes,no,2559.02565097206,2105.31673611062,16607.9115795557,5.62931966381527,1.44108461101647,1.99432140829074,0,0.25,2030,5,0,1703.05023172958,5476.94903680302,no,no,2454.23948073352,2019.10889453141,69844.1680698062,4.47504391396965,1.44108461101647,1.99432140829074,0,0.25,2030,53,2033,60,35,6,0,0,0,9518,5.69780954361475,101.507,136.162,0.381618341877078,0.745486993434292,5.69780954361475,0.511904761904762,0.988005659761274,0.374836535842161
2010,5,77,1882.3241735245,6791.12480785178,yes,no,2559.02565097206,2105.31673611062,16607.9115795557,5.62931966381527,1.44108461101647,1.99432140829074,0,0.25,2030,1,0,1882.3241735245,6791.12480785178,yes,no,1882.3241735245,1882.3241735245,68149.1046241773,5.62931966381527,1.44108461101647,1.99432140829074,4,0.25,2030,53,2033,60,35,6,0,0,0,9518,5.69780954361475,101.507,136.162,0.381618341877078,0.745486993434292,5.69780954361475,0.511904761904762,0.988005659761274,0.374836535842161
