PROGRAM,ALTNAME,CONT,CUSTOMER,LAUNCHER,AWDATE,year,$/kg,AWDDATE,LADATE,LAUDATE,DEV,CONDAT,CONDATE,PLAN,NUM,PRIC,INC,TSAT,EACH,GROUNDSTAT,LAUNCH,INSUR,FIN,AWARD,CONTR,GTOMA,DRYMAS,EOLPO,ORBIT,GEO_SLOT,UHF_XPOND,L_XPOND,S_XPOND,C_XPOND,X_XPOND,KU_XPOND,KA_XPOND,TYPEPAYLOD,COVERAGE,LIFE,SER,CONFIG,REFERENCE,REFERENCE2
INT 101,Earlybird,HAC,COMSAT,Thor Delta,64 Apr,1964,"$142,857",04/15/64,65 Apr,04/06/65,12 ,N/A,,,2 ,$10,,$10,$5,,,,,$10,FFP,68,35,46,GEO,,,,,1,,,,1-C band,Transoceanic Global,2.0,,spinner,,
INT 201,,HAC,COMSAT,Thor Delta,65 Nov,1965,"$53,333",11/15/65,66 Oct,10/26/66,11 ,N/A,,,5 ,$20,,$20,$4,,,,,$20,FFP,162,75,85,GEO,,,,,2,,,,2-C band,Transoceanic Global,3.0,,spinner,,
INT 301,,TRW,COMSAT,DEL 1914,66 Jun,1966,"$56,000",06/15/66,68 Sep,09/18/68,27 ,67 Dec,12/15/67,18 ,8 ,$60,,$60,$7,,,,,$60,FFP,300,125,178,GEO,,,,,2,,,,2-C band,Transoceanic Global,5.0,,spinner,,
TACSAT,,HAC,USAF,Titan 3C,66 Jun,1966,"$48,062",06/15/66,69 Feb,02/09/69,32 ,N/A,,,1 ,,,$31,$31,,,,,$31,FFP,726,645,560,GEO,,1,,,,1,,,1-UHF/1-X,,2.4,HS-308,spinner,,
Skynet 1,,FACC,USAF,Thor Delta,67 Mar,1967,"$25,000",03/15/67,69 Nov,11/22/69,32 ,N/A,,,2 ,$5,,$5,$3,,,,,$5,FPI,300,120,85,GEO,,,,,,2,,,2-X band,,3.0,,spinner,,
NATO II,,FACC,USAF,THOR DEL,68 Apr,1968,"$100,000",04/15/68,70 Mar,03/20/70,23 ,N/A,,,2 ,,,$24,$12,,,,,$24,FPI,300,120,85,GEO,,,,,,2,,,2-X band,,3.0,,spinner,,
DSCS II,,TRW,USAF SD,Titan 3C,68 Oct,1968,"$22,388",10/15/68,71 Nov,11/03/71,37 ,N/A,,,8 ,,,$96,$12,,,,,$96,FFP,536,536,357,GEO,,,,,,2,,,2-X band,Global,5.0,,3-axis,,
INT 401,,HAC,COMSAT,AC,68 Oct,1968,"$31,196",10/15/68,71 Jan,01/26/71,27 ,69 Aug,08/15/69,10 ,4 ,,,$74,$18,,,,,$74,FFP,"1,382",577,409,GEO,,,,,12,,,,12-C band,Transoceanic Global,7.0,HS-312,spinner,,
INT 405,,HAC,COMSAT,AC,69 Sep,1969,"$20,797",09/15/69,72 Jun,06/13/72,33 ,N/A,,,4 ,$20,$26,$46,$12,,,,,$46,FFP,"1,382",577,409,GEO,,,,,12,,,,12-C band,Transoceanic Global,7.0,HS-312,spinner,,
Skynet 2,,MSDS,MOD UK,Delta 2313,70 Aug,1970,"$61,905",08/15/70,74 Jan,01/19/74,41 ,N/A,,,2 ,,,$25,$13,,,,,$25,FPI,436,210,196,GEO,,,,,,2,,,2-X band,,3.0,,spinner,,
Symphonie,,AS / MBB,FranceGerm,Delta 2914,70 Dec,1970,"$195,000",12/15/70,74 Dec,12/19/74,48 ,N/A,,,2 ,,,$79,$39,$88,$30,,,$197,CP,402,200,180,GEO,,,,,2,,,,2-C band,Europe,5.0,,3-axis,,
