Rank 2013,Country,Operator/Revenue,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,per sat.,in orb.,per sat.,in Orbit
,,INTELSAT,,"$2,100.00","$1,970.10","$1,804.30","$1,931.00","$1,867.10","$2,031.00","$2,108.00","$2,200.00","$2,364.90","$2,500.00","$2,513.00","$2,600.00","$2,610.00","$2,640.00","$2,472.40","$2,353.00","$2,188.00",2014,2014,2013,54
,,Telesat Canada,,$522.40,$659.00,$598.60,$418.60,$441.90,$559.30,$578.40,$684.70,$711.40,$750.00,$821.00,$792.00,$846.00,$838.60,$793.70,$777.80,$754.50,,,,13
1,US,Intelsat,,"$1,100.00","$1,100.00",$992.00,"$1,100.00","$1,040.00","$1,170.00","$2,108.00","$2,200.00","$2,364.90","$2,500.00","$2,513.00","$2,600.00","$2,610.00","$2,640.00","$2,472.40","$2,353.00","$2,188.00",$45.00,55,$48.00,54
,US,PanAmSat,,"$1,000.00",$870.10,$812.30,$831.00,$827.10,$861.00,,,,,,,,,,,,,,,
,Luxembourg,SES Global,,"$1,476.10","$1,440.80","$1,330.02","$1,520.00","$1,560.00","$1,720.00","$1,900.00","$2,370.00","$2,300.00","$2,440.00","$2,307.40","$2,250.00","$2,410.00","$2,560.00","$2,330.00","$2,216.00","$2,188.00",$44.00,53,$46.55,45
2,Luxembourg,SES Astra ,,$665.90,$655.50,$637.00,,,,,,,,,,,,,,,,,,
3,France,Eutelsat,,$650.50,$593.50,$690.80,$954.00,"$1,037.00",$885.00,"$1,050.00","$1,240.00","$1,280.00","$1,410.00","$1,482.40","$1,550.00","$1,660.00","$1,790.00","$1,650.00","$1,695.60","$1,670.00",$48.50,34,$48.38,27
,US,SES Americom,,$522.00,$506.70,$473.00,$400.00,,,,,,,,,,,,,,,,,
,US,Loral Skynet,,$324.60,$457.40,$391.20,$152.40,$141.20,$152.00,$164.00,,,,,,,,,,,,,,
5,Japan,JSAT Skyperfect,,$332.80,$311.00,$380.80,$421.00,$430.70,$373.00,$326.00,$347.40,$399.00,$362.70,$391.30,$745.30,$659.40,$594.90,$446.20,$476.90,,$27.90,16,$37.18,14
,Netherlands,New Skies Sat,,$198.30,$209.00,$200.50,$214.90,$210.70,$240.50,,,,,,,,,,,,,,,
4,Canada,Telesat Canada,,$197.80,$201.60,$207.40,$266.20,$300.70,$407.30,$414.40,$684.70,$711.40,$750.00,$821.00,$792.00,$846.00,$838.60,$793.70,$777.80,$754.50,$79.40,10,$83.86,13
,Japan,Space Comm Corp.,,$204.60,$193.10,$199.80,$241.90,$217.60,$153.70,$151.20,$151.40,,,,,,,,,,,,,
6,Saudi Arabia,Arabsat,,$132.40,$155.00,$147.00,$140.00,$140.00,$157.00,$150.00,$150.00,$157.60,$191.00,$202.00,$262.00,$300.50,$341.00,$350.00,,,$58.30,6,$56.83,4
